predictor_id,indicator_family,solution_method,hypothetical_input_type,intrabar_assumption,causal_eligible
DMA_CROSS_UP,DMA,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
DMA_CROSS_DOWN,DMA,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
RSI_LEVEL,RSI,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
RSI_CROSS_UP,RSI,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
RSI_CROSS_DOWN,RSI,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
MACD_SIGNAL_CROSS_UP,MACD,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
MACD_SIGNAL_CROSS_DOWN,MACD,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
MACD_HIST_ZERO,MACD,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
STOCH_K_LEVEL_POINT_BAR,STOCHASTIC,EXACT_ANALYTIC,NEXT_BAR_CLOSE,POINT_BAR_H_EQ_L_EQ_X,YES
STOCH_K_CROSS_D,STOCHASTIC,REQUIRES_INTRABAR_ASSUMPTION,NEXT_BAR_CLOSE,REQUIRED,PARTIAL
SMA_CROSS_UP,SMA,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
EMA_CROSS_UP,EMA,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
WMA_CROSS_UP,WMA,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
PROJECT_OSCILLATOR_PREDICTOR_V1,PROJECT_OSC,EXACT_ANALYTIC,NEXT_BAR_CLOSE,NONE,YES
BOLLINGER_BAND_INVERSE,BOLLINGER,UNSUPPORTED_V1,NEXT_BAR_CLOSE,N/A,NO
