composite_id,template_id,decision_tf,direction,n_signals_ref,n_signals_new,timestamp_parity,metric_parity,class_input_parity
COMP|T1_DUAL_ANCHOR|UP|04a909c2d779385f,T1_DUAL_ANCHOR,1H,UP,3455,3455,True,True,True
COMP|T1_DUAL_ANCHOR|UP|10f0ef582c2e88fb,T1_DUAL_ANCHOR,1H,UP,799,799,True,True,True
COMP|T1_DUAL_ANCHOR|UP|119eb7628ac6de54,T1_DUAL_ANCHOR,1H,UP,1771,1771,True,True,True
COMP|T1_DUAL_ANCHOR|UP|16ea0ffb63467549,T1_DUAL_ANCHOR,1H,UP,2230,2230,True,True,True
COMP|T1_DUAL_ANCHOR|UP|1c4ed19e4aa0c8cd,T1_DUAL_ANCHOR,1H,UP,660,660,True,True,True
COMP|T1_DUAL_ANCHOR|UP|231f3fb9be50e9b9,T1_DUAL_ANCHOR,1H,UP,1111,1111,True,True,True
COMP|T1_DUAL_ANCHOR|UP|24c99a3a07822643,T1_DUAL_ANCHOR,1H,UP,829,829,True,True,True
COMP|T1_DUAL_ANCHOR|UP|3e7a5ba495ce4779,T1_DUAL_ANCHOR,1H,UP,1708,1708,True,True,True
COMP|T1_DUAL_ANCHOR|UP|469ae3d144812deb,T1_DUAL_ANCHOR,1H,UP,568,568,True,True,True
COMP|T1_DUAL_ANCHOR|UP|46c5c0afcef61a03,T1_DUAL_ANCHOR,1H,UP,1291,1291,True,True,True
COMP|T2_REGIME_ANCHOR|UP|008a04def70a39f7,T2_REGIME_ANCHOR,1H,UP,4084,4084,True,True,True
COMP|T2_REGIME_ANCHOR|UP|1f5a9f1c03201a6e,T2_REGIME_ANCHOR,1H,UP,5187,5187,True,True,True
COMP|T2_REGIME_ANCHOR|UP|2836afb63b650fdc,T2_REGIME_ANCHOR,1H,UP,999,999,True,True,True
COMP|T2_REGIME_ANCHOR|UP|33864e10fc42c9d1,T2_REGIME_ANCHOR,1H,UP,6595,6595,True,True,True
COMP|T2_REGIME_ANCHOR|UP|48947f07fb5e8725,T2_REGIME_ANCHOR,1H,UP,2525,2525,True,True,True
COMP|T2_REGIME_ANCHOR|UP|64dec802c57c011f,T2_REGIME_ANCHOR,1H,UP,3267,3267,True,True,True
COMP|T2_REGIME_ANCHOR|UP|7a47ece028eab259,T2_REGIME_ANCHOR,1H,UP,1649,1649,True,True,True
