redundancy_cluster_id,direction,decision_tf,size,jaccard_threshold,representative_composite_id,alias_composite_ids,members,COMPOSITE_REDUNDANCY_METHOD
NR-000000,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|18d28ad866ee7ff1,"[""COMP|T5_ANCHOR_MICRO|DOWN|ae8038134d888eba""]","[""COMP|T5_ANCHOR_MICRO|DOWN|18d28ad866ee7ff1"", ""COMP|T5_ANCHOR_MICRO|DOWN|ae8038134d888eba""]",EVENT_STREAM_JACCARD
NR-000001,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|e610b774e4cd3ddb,"[""COMP|T5_ANCHOR_MICRO|DOWN|5d4483b9ac5c251b""]","[""COMP|T5_ANCHOR_MICRO|DOWN|5d4483b9ac5c251b"", ""COMP|T5_ANCHOR_MICRO|DOWN|e610b774e4cd3ddb""]",EVENT_STREAM_JACCARD
NR-000002,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|2119616714f6f183,"[""COMP|T5_ANCHOR_MICRO|DOWN|d3987b17970abe4b""]","[""COMP|T5_ANCHOR_MICRO|DOWN|2119616714f6f183"", ""COMP|T5_ANCHOR_MICRO|DOWN|d3987b17970abe4b""]",EVENT_STREAM_JACCARD
NR-000003,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|1c874ea1264301d7,"[""COMP|T5_ANCHOR_MICRO|DOWN|f6405bb2ee80606f""]","[""COMP|T5_ANCHOR_MICRO|DOWN|1c874ea1264301d7"", ""COMP|T5_ANCHOR_MICRO|DOWN|f6405bb2ee80606f""]",EVENT_STREAM_JACCARD
NR-000004,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|b5094f0563287d9e,"[""COMP|T5_ANCHOR_MICRO|DOWN|b2176aa500a0197e""]","[""COMP|T5_ANCHOR_MICRO|DOWN|b2176aa500a0197e"", ""COMP|T5_ANCHOR_MICRO|DOWN|b5094f0563287d9e""]",EVENT_STREAM_JACCARD
NR-000005,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|66184cb313325b79,"[""COMP|T5_ANCHOR_MICRO|DOWN|993b463433dfa049""]","[""COMP|T5_ANCHOR_MICRO|DOWN|66184cb313325b79"", ""COMP|T5_ANCHOR_MICRO|DOWN|993b463433dfa049""]",EVENT_STREAM_JACCARD
NR-000006,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|08d79fb5cfe423ea,"[""COMP|T5_ANCHOR_MICRO|DOWN|4ee6dd61dfc1e979""]","[""COMP|T5_ANCHOR_MICRO|DOWN|08d79fb5cfe423ea"", ""COMP|T5_ANCHOR_MICRO|DOWN|4ee6dd61dfc1e979""]",EVENT_STREAM_JACCARD
NR-000007,DOWN,15m,2,0.95,COMP|T5_ANCHOR_MICRO|DOWN|459dd3190ca342cf,"[""COMP|T5_ANCHOR_MICRO|DOWN|706cededf9faa605""]","[""COMP|T5_ANCHOR_MICRO|DOWN|459dd3190ca342cf"", ""COMP|T5_ANCHOR_MICRO|DOWN|706cededf9faa605""]",EVENT_STREAM_JACCARD
NR-000008,DOWN,1H,2,0.95,COMP|T1_DUAL_ANCHOR|DOWN|0234d2dd16fe641d,"[""COMP|T1_DUAL_ANCHOR|DOWN|b763f617a72fd4ef""]","[""COMP|T1_DUAL_ANCHOR|DOWN|0234d2dd16fe641d"", ""COMP|T1_DUAL_ANCHOR|DOWN|b763f617a72fd4ef""]",EVENT_STREAM_JACCARD
NR-000009,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|63189e74ff11409d,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|c7611389b5d7dcdc""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|63189e74ff11409d"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|c7611389b5d7dcdc""]",EVENT_STREAM_JACCARD
NR-000010,DOWN,1H,2,0.95,COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|5358ddceba34289b,"[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|efe0d226856d543e""]","[""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|5358ddceba34289b"", ""COMP|T6_CROSS_FAMILY_SAME_TF|DOWN|efe0d226856d543e""]",EVENT_STREAM_JACCARD
