feature_set_id,family,ma_type,period,display_shift,formula_version,causal_semantics,warmup_bars,source_engine,reference_status,preset_class
DMA_SMA_P3_SHIFT0_V1,DMA,SMA,3,0,MA_V1,CLOSED_CANDLE,3,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED,PROJECT_RESEARCH
DMA_SMA_P3_SHIFT2_V1,DMA,SMA,3,2,MA_V1,CLOSED_CANDLE,5,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P3_SHIFT3_V1,DMA,SMA,3,3,MA_V1,CLOSED_CANDLE,6,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED,DINAPOLI_STYLE
DMA_SMA_P3_SHIFT5_V1,DMA,SMA,3,5,MA_V1,CLOSED_CANDLE,8,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P5_SHIFT3_V1,DMA,SMA,5,3,MA_V1,CLOSED_CANDLE,8,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED,PROJECT_RESEARCH
DMA_SMA_P5_SHIFT5_V1,DMA,SMA,5,5,MA_V1,CLOSED_CANDLE,10,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P7_SHIFT3_V1,DMA,SMA,7,3,MA_V1,CLOSED_CANDLE,10,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED,PROJECT_RESEARCH
DMA_SMA_P7_SHIFT5_V1,DMA,SMA,7,5,MA_V1,CLOSED_CANDLE,12,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,DINAPOLI_STYLE
DMA_SMA_P10_SHIFT5_V1,DMA,SMA,10,5,MA_V1,CLOSED_CANDLE,15,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P14_SHIFT5_V1,DMA,SMA,14,5,MA_V1,CLOSED_CANDLE,19,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P14_SHIFT8_V1,DMA,SMA,14,8,MA_V1,CLOSED_CANDLE,22,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P20_SHIFT5_V1,DMA,SMA,20,5,MA_V1,CLOSED_CANDLE,25,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_SMA_P25_SHIFT5_V1,DMA,SMA,25,5,MA_V1,CLOSED_CANDLE,30,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,DINAPOLI_STYLE
DMA_SMA_P25_SHIFT8_V1,DMA,SMA,25,8,MA_V1,CLOSED_CANDLE,33,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P3_SHIFT0_V1,DMA,EMA,3,0,MA_V1,CLOSED_CANDLE,3,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P3_SHIFT2_V1,DMA,EMA,3,2,MA_V1,CLOSED_CANDLE,5,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P3_SHIFT3_V1,DMA,EMA,3,3,MA_V1,CLOSED_CANDLE,6,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P3_SHIFT5_V1,DMA,EMA,3,5,MA_V1,CLOSED_CANDLE,8,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P5_SHIFT3_V1,DMA,EMA,5,3,MA_V1,CLOSED_CANDLE,8,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P5_SHIFT5_V1,DMA,EMA,5,5,MA_V1,CLOSED_CANDLE,10,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P7_SHIFT3_V1,DMA,EMA,7,3,MA_V1,CLOSED_CANDLE,10,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P7_SHIFT5_V1,DMA,EMA,7,5,MA_V1,CLOSED_CANDLE,12,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P10_SHIFT5_V1,DMA,EMA,10,5,MA_V1,CLOSED_CANDLE,15,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P14_SHIFT5_V1,DMA,EMA,14,5,MA_V1,CLOSED_CANDLE,19,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P14_SHIFT8_V1,DMA,EMA,14,8,MA_V1,CLOSED_CANDLE,22,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P20_SHIFT5_V1,DMA,EMA,20,5,MA_V1,CLOSED_CANDLE,25,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P25_SHIFT5_V1,DMA,EMA,25,5,MA_V1,CLOSED_CANDLE,30,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_EMA_P25_SHIFT8_V1,DMA,EMA,25,8,MA_V1,CLOSED_CANDLE,33,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P3_SHIFT0_V1,DMA,WMA,3,0,MA_V1,CLOSED_CANDLE,3,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
