feature_id,family,timeframe,parameter_set,formula_version,causal_semantics,units,warmup_bars,source_engine,reference_status
5m.DMA_SMA_P3_SHIFT0_V1.MA_VALUE,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.PRICE_MINUS_MA,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.PRICE_MINUS_MA_PCT,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.PRICE_MINUS_MA_ATR,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.MA_SLOPE_1,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.MA_SLOPE_3,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.PRICE_CROSS_UP_MA,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.PRICE_CROSS_DOWN_MA,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.MA_SLOPE_TURN_UP,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.MA_SLOPE_TURN_DOWN,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_MA_VALUE,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_PRICE_MINUS_MA,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_PRICE_MINUS_MA_PCT,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_PRICE_MINUS_MA_ATR,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_MA_SLOPE_1,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_MA_SLOPE_3,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_PRICE_CROSS_UP_MA,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_PRICE_CROSS_DOWN_MA,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
5m.DMA_SMA_P3_SHIFT0_V1.DISPLAY_ALIGNED_MA_SLOPE_TURN_UP,DMA,5m,DMA_SMA_P3_SHIFT0_V1,MA_V1,CLOSED_CANDLE,price,14,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED
