timeframe,family,first_bar_time,last_bar_time,bar_count,gap_count,segment_count,invalid_due_to_gap_count,recovered_after_gap_count,permanent_invalid_after_recoverable_gap_count,insufficient_post_gap_history_count
5m,EMA_DMA,2019-03-27T23:45:00Z,2025-02-28T23:55:00Z,622781,20,21,0,20,0,0
5m,STANDARD_MACD,2019-03-27T23:45:00Z,2025-02-28T23:55:00Z,622781,20,21,0,20,0,0
5m,DINAPOLI_MACD,2019-03-27T23:45:00Z,2025-02-28T23:55:00Z,622781,20,21,0,20,0,0
5m,DINAPOLI_PREFERRED_STOCH,2019-03-27T23:45:00Z,2025-02-28T23:55:00Z,622781,20,21,0,20,0,0
5m,ATR,2019-03-27T23:45:00Z,2025-02-28T23:55:00Z,622781,20,21,0,20,0,0
15m,EMA_DMA,2019-03-27T23:15:00Z,2025-02-28T23:45:00Z,207598,20,21,0,20,0,0
15m,STANDARD_MACD,2019-03-27T23:15:00Z,2025-02-28T23:45:00Z,207598,20,21,0,20,0,0
15m,DINAPOLI_MACD,2019-03-27T23:15:00Z,2025-02-28T23:45:00Z,207598,20,21,0,20,0,0
15m,DINAPOLI_PREFERRED_STOCH,2019-03-27T23:15:00Z,2025-02-28T23:45:00Z,207598,20,21,0,20,0,0
15m,ATR,2019-03-27T23:15:00Z,2025-02-28T23:45:00Z,207598,20,21,0,20,0,0
30m,EMA_DMA,2019-03-27T22:30:00Z,2025-02-28T23:30:00Z,103805,20,21,0,20,0,0
30m,STANDARD_MACD,2019-03-27T22:30:00Z,2025-02-28T23:30:00Z,103805,20,21,0,20,0,0
30m,DINAPOLI_MACD,2019-03-27T22:30:00Z,2025-02-28T23:30:00Z,103805,20,21,0,20,0,0
30m,DINAPOLI_PREFERRED_STOCH,2019-03-27T22:30:00Z,2025-02-28T23:30:00Z,103805,20,21,0,20,0,0
30m,ATR,2019-03-27T22:30:00Z,2025-02-28T23:30:00Z,103805,20,21,0,20,0,0
1H,EMA_DMA,2019-03-27T20:00:00Z,2025-02-28T23:00:00Z,51911,19,20,0,19,0,0
1H,STANDARD_MACD,2019-03-27T20:00:00Z,2025-02-28T23:00:00Z,51911,19,20,0,19,0,0
1H,DINAPOLI_MACD,2019-03-27T20:00:00Z,2025-02-28T23:00:00Z,51911,19,20,0,19,0,0
1H,DINAPOLI_PREFERRED_STOCH,2019-03-27T20:00:00Z,2025-02-28T23:00:00Z,51911,19,20,0,19,0,0
1H,ATR,2019-03-27T20:00:00Z,2025-02-28T23:00:00Z,51911,19,20,0,19,0,0
2H,EMA_DMA,2019-03-27T18:00:00Z,2025-02-28T22:00:00Z,25964,11,12,0,11,0,0
2H,STANDARD_MACD,2019-03-27T18:00:00Z,2025-02-28T22:00:00Z,25964,11,12,0,11,0,0
2H,DINAPOLI_MACD,2019-03-27T18:00:00Z,2025-02-28T22:00:00Z,25964,11,12,0,11,0,0
2H,DINAPOLI_PREFERRED_STOCH,2019-03-27T18:00:00Z,2025-02-28T22:00:00Z,25964,11,12,0,11,0,0
2H,ATR,2019-03-27T18:00:00Z,2025-02-28T22:00:00Z,25964,11,12,0,11,0,0
4H,EMA_DMA,2019-03-05T20:00:00Z,2025-02-28T20:00:00Z,13118,4,5,0,4,0,0
4H,STANDARD_MACD,2019-03-05T20:00:00Z,2025-02-28T20:00:00Z,13118,4,5,0,4,0,0
4H,DINAPOLI_MACD,2019-03-05T20:00:00Z,2025-02-28T20:00:00Z,13118,4,5,0,4,0,0
4H,DINAPOLI_PREFERRED_STOCH,2019-03-05T20:00:00Z,2025-02-28T20:00:00Z,13118,4,5,0,4,0,0
4H,ATR,2019-03-05T20:00:00Z,2025-02-28T20:00:00Z,13118,4,5,0,4,0,0
6H,EMA_DMA,2019-02-25T06:00:00Z,2025-02-28T18:00:00Z,8782,1,2,0,1,0,0
6H,STANDARD_MACD,2019-02-25T06:00:00Z,2025-02-28T18:00:00Z,8782,1,2,0,1,0,0
6H,DINAPOLI_MACD,2019-02-25T06:00:00Z,2025-02-28T18:00:00Z,8782,1,2,0,1,0,0
6H,DINAPOLI_PREFERRED_STOCH,2019-02-25T06:00:00Z,2025-02-28T18:00:00Z,8782,1,2,0,1,0,0
6H,ATR,2019-02-25T06:00:00Z,2025-02-28T18:00:00Z,8782,1,2,0,1,0,0
8H,EMA_DMA,2019-03-27T00:00:00Z,2025-02-28T16:00:00Z,6498,0,1,0,0,0,0
8H,STANDARD_MACD,2019-03-27T00:00:00Z,2025-02-28T16:00:00Z,6498,0,1,0,0,0,0
8H,DINAPOLI_MACD,2019-03-27T00:00:00Z,2025-02-28T16:00:00Z,6498,0,1,0,0,0,0
8H,DINAPOLI_PREFERRED_STOCH,2019-03-27T00:00:00Z,2025-02-28T16:00:00Z,6498,0,1,0,0,0,0
8H,ATR,2019-03-27T00:00:00Z,2025-02-28T16:00:00Z,6498,0,1,0,0,0,0
12H,EMA_DMA,2019-03-26T12:00:00Z,2025-02-28T12:00:00Z,4333,0,1,0,0,0,0
12H,STANDARD_MACD,2019-03-26T12:00:00Z,2025-02-28T12:00:00Z,4333,0,1,0,0,0,0
12H,DINAPOLI_MACD,2019-03-26T12:00:00Z,2025-02-28T12:00:00Z,4333,0,1,0,0,0,0
12H,DINAPOLI_PREFERRED_STOCH,2019-03-26T12:00:00Z,2025-02-28T12:00:00Z,4333,0,1,0,0,0,0
12H,ATR,2019-03-26T12:00:00Z,2025-02-28T12:00:00Z,4333,0,1,0,0,0,0
1D,EMA_DMA,2018-07-13T00:00:00Z,2025-02-28T00:00:00Z,2423,0,1,0,0,0,0
1D,STANDARD_MACD,2018-07-13T00:00:00Z,2025-02-28T00:00:00Z,2423,0,1,0,0,0,0
1D,DINAPOLI_MACD,2018-07-13T00:00:00Z,2025-02-28T00:00:00Z,2423,0,1,0,0,0,0
1D,DINAPOLI_PREFERRED_STOCH,2018-07-13T00:00:00Z,2025-02-28T00:00:00Z,2423,0,1,0,0,0,0
1D,ATR,2018-07-13T00:00:00Z,2025-02-28T00:00:00Z,2423,0,1,0,0,0,0
