feature_set_id,family,fast,slow,signal,display_shift,formula_version,causal_semantics,warmup_bars,source_engine,reference_status,preset_class,implementation_name
MACD_5_13_4_SHIFT0_V1,MACD,5,13,4,0,MACD_CANONICAL_V1,CLOSED_CANDLE,17,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,STANDARD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_5_13_4_SHIFT2_V1,MACD,5,13,4,2,MACD_CANONICAL_V1,CLOSED_CANDLE,17,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_5_13_4_SHIFT3_V1,MACD,5,13,4,3,MACD_CANONICAL_V1,CLOSED_CANDLE,17,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_5_13_4_SHIFT5_V1,MACD,5,13,4,5,MACD_CANONICAL_V1,CLOSED_CANDLE,17,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
MACD_8_21_5_SHIFT0_V1,MACD,8,21,5,0,MACD_CANONICAL_V1,CLOSED_CANDLE,26,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,STANDARD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_8_21_5_SHIFT2_V1,MACD,8,21,5,2,MACD_CANONICAL_V1,CLOSED_CANDLE,26,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_8_21_5_SHIFT3_V1,MACD,8,21,5,3,MACD_CANONICAL_V1,CLOSED_CANDLE,26,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_8_21_5_SHIFT5_V1,MACD,8,21,5,5,MACD_CANONICAL_V1,CLOSED_CANDLE,26,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
MACD_12_26_9_SHIFT0_V1,MACD,12,26,9,0,MACD_CANONICAL_V1,CLOSED_CANDLE,35,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED,STANDARD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_12_26_9_SHIFT2_V1,MACD,12,26,9,2,MACD_CANONICAL_V1,CLOSED_CANDLE,35,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_12_26_9_SHIFT3_V1,MACD,12,26,9,3,MACD_CANONICAL_V1,CLOSED_CANDLE,35,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
DISPLACED_MACD_12_26_9_SHIFT5_V1,MACD,12,26,9,5,MACD_CANONICAL_V1,CLOSED_CANDLE,35,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_MACD,PROJECT_DISPLACED_MACD
