feature_set_id,family,k_period,k_smooth,d_period,display_shift,overbought,oversold,formula_version,causal_semantics,source_engine,reference_status,preset_class,implementation_name,warmup_bars,slowing,smoothing
STOCH_K5_KS3_D3_SHIFT0_V1,STOCHASTIC,5,3,3,0,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,STANDARD,STANDARD_STOCHASTIC,10,,
DISPLACED_STOCH_K5_KS3_D3_SHIFT2_V1,STOCHASTIC,5,3,3,2,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,12,,
DISPLACED_STOCH_K5_KS3_D3_SHIFT3_V1,STOCHASTIC,5,3,3,3,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,13,,
DISPLACED_STOCH_K5_KS3_D3_SHIFT5_V1,STOCHASTIC,5,3,3,5,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,15,,
STOCH_K9_KS3_D3_SHIFT0_V1,STOCHASTIC,9,3,3,0,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,STANDARD,STANDARD_STOCHASTIC,14,,
DISPLACED_STOCH_K9_KS3_D3_SHIFT2_V1,STOCHASTIC,9,3,3,2,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,16,,
DISPLACED_STOCH_K9_KS3_D3_SHIFT3_V1,STOCHASTIC,9,3,3,3,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,17,,
DISPLACED_STOCH_K9_KS3_D3_SHIFT5_V1,STOCHASTIC,9,3,3,5,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,19,,
STOCH_K14_KS3_D3_SHIFT0_V1,STOCHASTIC,14,3,3,0,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,NUMERIC_REFERENCE_TESTED,STANDARD,STANDARD_STOCHASTIC,19,,
DISPLACED_STOCH_K14_KS3_D3_SHIFT2_V1,STOCHASTIC,14,3,3,2,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,21,,
DISPLACED_STOCH_K14_KS3_D3_SHIFT3_V1,STOCHASTIC,14,3,3,3,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,22,,
DISPLACED_STOCH_K14_KS3_D3_SHIFT5_V1,STOCHASTIC,14,3,3,5,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,24,,
STOCH_K21_KS5_D5_SHIFT0_V1,STOCHASTIC,21,5,5,0,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,STANDARD,STANDARD_STOCHASTIC,30,,
DISPLACED_STOCH_K21_KS5_D5_SHIFT2_V1,STOCHASTIC,21,5,5,2,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,32,,
DISPLACED_STOCH_K21_KS5_D5_SHIFT3_V1,STOCHASTIC,21,5,5,3,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,33,,
DISPLACED_STOCH_K21_KS5_D5_SHIFT5_V1,STOCHASTIC,21,5,5,5,80.0,20.0,STOCH_CANONICAL_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_DISPLACED_STOCHASTIC,PROJECT_DISPLACED_STOCHASTIC,35,,
DINAPOLI_PREFERRED_STOCHASTIC_REFERENCE_V1,STOCHASTIC,8,,3,0,80.0,20.0,DINAPOLI_PREFERRED_STOCH_REFERENCE_V1,CLOSED_CANDLE,INDICATOR_ENGINE_V1,DINAPOLI_REFERENCE_IMPLEMENTATION,DINAPOLI_REFERENCE,DINAPOLI_PREFERRED_STOCHASTIC,9,3,MODIFIED_RECURSIVE
