candidate_id,family,formula_variant,parameter_set_id,parameters,decision_tf,direction,event_primitive,up_primitive,down_primitive,reference_status,is_reference,execution_route,version,comparison_scope
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",5m,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",5m,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",5m,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",5m,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|15m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",15m,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|15m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",15m,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",15m,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",15m,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|30m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",30m,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|30m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",30m,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|30m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",30m,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|30m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",30m,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",1H,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",1H,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",1H,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",1H,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|2H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",2H,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|2H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",2H,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|2H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",2H,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|2H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",2H,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|4H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",4H,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|4H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",4H,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|4H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",4H,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|4H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",4H,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|6H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",6H,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|6H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",6H,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|6H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P3_SHIFT0_V1,"{'ma_type': 'SMA', 'period': 3, 'display_shift': 0}",6H,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,NUMERIC_REFERENCE_TESTED,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE
