candidate_id,family,role,decision_tf,partition,source_wave_tf,pivot_type,n_events,TOTAL_SIGNALS,MATCHED_POST_C_SIGNALS,PRE_C_WARNING_SIGNALS,UNMATCHED_SIGNALS,FALSE_POSITIVE_RATE,PRECISION,EVENT_RECALL,SIGNALS_PER_YEAR,FALSE_SIGNALS_PER_YEAR,MEDIAN_DELAY_SECONDS,P75_DELAY_SECONDS,P90_DELAY_SECONDS,MEDIAN_PRICE_DISTANCE_FROM_C_PCT,MEDIAN_PRICE_DISTANCE_FROM_C_ATR,MEDIAN_REMAINING_WAVE_FRACTION,MEDIAN_MAE_AFTER_SIGNAL,P90_MAE_AFTER_SIGNAL,MEDIAN_MFE_AFTER_SIGNAL,MFE_MAE_RATIO,PRE_C_SIGNAL_RATE,MEDIAN_PRE_C_LEAD,MEDIAN_ADVERSE_EXTENSION_AFTER_PRE_C,SCANNED_TIME_FROM,SCANNED_TIME_TO,VALID_DECISION_BARS,YEARS_COVERED,sample_flag,direction,event_primitive,parameter_set_id,is_reference,PRECISION_DELTA,FPR_DELTA,PREMATURE_DELTA,fold,RECALL_DELTA,MEDIAN_DELAY_SECONDS_DELTA
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,10860,0,0,10860,1.0,0.0,,10579.011353323578,10579.011353323578,,,,,,,,,,,0.0,,,2019-05-12T00:00:00+00:00,2020-05-21T01:32:00+00:00,107601,1.026560955205719,NORMAL,DOWN,MA_SLOPE_TURN_DOWN,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,1,,
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,11222,0,0,11222,1.0,0.0,,10928.507771924791,10928.507771924791,,,,,,,,,,,0.0,,,2020-05-21T01:32:00+00:00,2021-05-31T03:04:00+00:00,107787,1.0268556544223895,NORMAL,DOWN,MA_SLOPE_TURN_DOWN,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,2,,
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,10962,0,0,10962,1.0,0.0,,10676.592570645531,10676.592570645531,,,,,,,,,,,0.0,,,2021-05-31T03:04:00+00:00,2022-06-10T04:36:00+00:00,107941,1.0267320708799148,NORMAL,DOWN,MA_SLOPE_TURN_DOWN,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,3,,
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,10858,0,0,10858,1.0,0.0,,10575.300322210289,10575.300322210289,,,,,,,,,,,0.0,,,2019-05-12T00:00:00+00:00,2020-05-21T01:32:00+00:00,107601,1.0267320708799148,NORMAL,UP,MA_SLOPE_TURN_UP,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,1,,
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,11220,0,0,11220,1.0,0.0,,10927.57173146185,10927.57173146185,,,,,,,,,,,0.0,,,2020-05-21T01:32:00+00:00,2021-05-31T03:04:00+00:00,107787,1.0267605901589474,NORMAL,UP,MA_SLOPE_TURN_UP,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,2,,
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,10962,0,0,10962,1.0,0.0,,10678.570010371906,10678.570010371906,,,,,,,,,,,0.0,,,2021-05-31T03:04:00+00:00,2022-06-10T04:36:00+00:00,107941,1.0265419423530306,NORMAL,UP,MA_SLOPE_TURN_UP,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,3,,
DMA|DMA_EMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,10860,0,0,10860,1.0,0.0,,10579.011353323578,10579.011353323578,,,,,,,,,,,0.0,,,2019-05-12T00:00:00+00:00,2020-05-21T01:32:00+00:00,107601,1.026560955205719,NORMAL,DOWN,PRICE_CROSS_DOWN_MA,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,1,,
DMA|DMA_EMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,11223,0,0,11223,1.0,0.0,,10929.481618634105,10929.481618634105,,,,,,,,,,,0.0,,,2020-05-21T01:32:00+00:00,2021-05-31T03:04:00+00:00,107787,1.0268556544223895,NORMAL,DOWN,PRICE_CROSS_DOWN_MA,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,2,,
DMA|DMA_EMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,10962,0,0,10962,1.0,0.0,,10676.592570645531,10676.592570645531,,,,,,,,,,,0.0,,,2021-05-31T03:04:00+00:00,2022-06-10T04:36:00+00:00,107941,1.0267320708799148,NORMAL,DOWN,PRICE_CROSS_DOWN_MA,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,3,,
DMA|DMA_EMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,10858,0,0,10858,1.0,0.0,,10575.300322210289,10575.300322210289,,,,,,,,,,,0.0,,,2019-05-12T00:00:00+00:00,2020-05-21T01:32:00+00:00,107601,1.0267320708799148,NORMAL,UP,PRICE_CROSS_UP_MA,DMA_EMA_P10_SHIFT5_V1,False,0.0,0.0,0.0,1,,
