decision_tf,family,direction,n,med_prec_delta
12H,DMA,DOWN,84,0.26154686897896406
12H,DMA,UP,84,0.28613286357436163
12H,DNO_QUANTILE,DOWN,2,0.2622312714222874
12H,DNO_QUANTILE,UP,2,0.21808339876658323
12H,INVERSE_PREDICTOR,DOWN,6,0.2788699102829537
12H,INVERSE_PREDICTOR,UP,6,0.32198235089861943
12H,MACD,DOWN,26,0.3484668192219679
12H,MACD,UP,26,0.3917732797829614
12H,OSC_PREDICTOR,DOWN,24,0.2681107091666098
12H,OSC_PREDICTOR,UP,24,0.2431824810284023
12H,PURE_DNO,DOWN,1,0.29867641400538664
12H,PURE_DNO,UP,1,0.3231049167634533
12H,STOCHASTIC,DOWN,17,0.2769331463300608
12H,STOCHASTIC,UP,17,0.3135017421602787
15m,DMA,DOWN,84,0.0033082106664403888
15m,DMA,UP,84,0.0033097510682229677
15m,DNO_QUANTILE,DOWN,2,0.005549259843688677
15m,DNO_QUANTILE,UP,2,0.005966737309091419
15m,INVERSE_PREDICTOR,DOWN,6,0.00814732040380975
15m,INVERSE_PREDICTOR,UP,6,0.007993720844032463
15m,MACD,DOWN,26,0.007860033551682973
15m,MACD,UP,26,0.008315941732164184
15m,OSC_PREDICTOR,DOWN,24,0.007508359674393969
15m,OSC_PREDICTOR,UP,24,0.007162737704879363
15m,PURE_DNO,DOWN,1,0.0033101352827974682
15m,PURE_DNO,UP,1,0.0033107136847656694
15m,STOCHASTIC,DOWN,17,0.0029997534278521643
15m,STOCHASTIC,UP,17,0.0030002833799116667
1D,DMA,DOWN,84,0.24784946236559147
1D,DMA,UP,84,0.24916387959866215
1D,DNO_QUANTILE,DOWN,2,0.2683673469387755
1D,DNO_QUANTILE,UP,2,0.1532474503488996
1D,INVERSE_PREDICTOR,DOWN,6,0.2914549433818632
1D,INVERSE_PREDICTOR,UP,6,0.30076744844361036
1D,MACD,DOWN,26,0.3065217391304348
1D,MACD,UP,26,0.3389074693422519
1D,OSC_PREDICTOR,DOWN,24,0.21991869918699192
1D,OSC_PREDICTOR,UP,24,0.16445904954499493
1D,PURE_DNO,DOWN,1,0.284959349593496
1D,PURE_DNO,UP,1,0.2706014584132902
1D,STOCHASTIC,DOWN,17,0.25476190476190474
1D,STOCHASTIC,UP,17,0.26955623891719604
1H,DMA,DOWN,84,0.15189558623923
1H,DMA,UP,84,0.15172439884098404
1H,DNO_QUANTILE,DOWN,2,0.20463505121856948
1H,DNO_QUANTILE,UP,2,0.21947336684720536
1H,INVERSE_PREDICTOR,DOWN,6,0.20242106024319725
1H,INVERSE_PREDICTOR,UP,6,0.23066608378687406
1H,MACD,DOWN,26,0.3504457049558793
1H,MACD,UP,26,0.35722888025698846
1H,OSC_PREDICTOR,DOWN,24,0.2536739086334391
1H,OSC_PREDICTOR,UP,24,0.2513239943578786
1H,PURE_DNO,DOWN,1,0.1517488665606081
1H,PURE_DNO,UP,1,0.15172439884098404
1H,STOCHASTIC,DOWN,17,0.1319577565911877
1H,STOCHASTIC,UP,17,0.13419672265506943
2H,DMA,DOWN,84,0.15538123993125447
2H,DMA,UP,84,0.1539671088523272
2H,DNO_QUANTILE,DOWN,2,0.2010689385359225
2H,DNO_QUANTILE,UP,2,0.21360335799114466
2H,INVERSE_PREDICTOR,DOWN,6,0.21513847323551114
2H,INVERSE_PREDICTOR,UP,6,0.24525137662840957
2H,MACD,DOWN,26,0.3612090074176199
2H,MACD,UP,26,0.383572372010222
2H,OSC_PREDICTOR,DOWN,24,0.24679305834368453
2H,OSC_PREDICTOR,UP,24,0.22969102942054737
2H,PURE_DNO,DOWN,1,0.15555854749646353
2H,PURE_DNO,UP,1,0.1539671088523272
2H,STOCHASTIC,DOWN,17,0.13428759858946404
2H,STOCHASTIC,UP,17,0.13519566455893692
30m,DMA,DOWN,84,0.0069678300318499675
30m,DMA,UP,84,0.00681059532688126
30m,DNO_QUANTILE,DOWN,2,0.011890276438356395
30m,DNO_QUANTILE,UP,2,0.012986073580755457
30m,INVERSE_PREDICTOR,DOWN,6,0.011838472153648407
30m,INVERSE_PREDICTOR,UP,6,0.012521957732177584
30m,MACD,DOWN,26,0.017275648651766097
30m,MACD,UP,26,0.01666348623589044
30m,OSC_PREDICTOR,DOWN,24,0.016572889991277033
30m,OSC_PREDICTOR,UP,24,0.014877844449702879
30m,PURE_DNO,DOWN,1,0.006969805597046506
30m,PURE_DNO,UP,1,0.006814496422653465
30m,STOCHASTIC,DOWN,17,0.006476490995072941
30m,STOCHASTIC,UP,17,0.006474747776820207
4H,DMA,DOWN,84,0.16237636495983326
4H,DMA,UP,84,0.16654899191966738
4H,DNO_QUANTILE,DOWN,2,0.21363805929407553
4H,DNO_QUANTILE,UP,2,0.18722868058550154
4H,INVERSE_PREDICTOR,DOWN,6,0.2130949520335967
4H,INVERSE_PREDICTOR,UP,6,0.22158091651680936
4H,MACD,DOWN,26,0.3458999006002854
4H,MACD,UP,26,0.3782966351393918
4H,OSC_PREDICTOR,DOWN,24,0.2318681375674125
4H,OSC_PREDICTOR,UP,24,0.1956236842311926
4H,PURE_DNO,DOWN,1,0.1642974946988141
4H,PURE_DNO,UP,1,0.16654899191966738
4H,STOCHASTIC,DOWN,17,0.1318587628303341
4H,STOCHASTIC,UP,17,0.14009396546464092
5m,DMA,DOWN,84,0.0
5m,DMA,UP,84,0.0
5m,DNO_QUANTILE,DOWN,2,0.0
5m,DNO_QUANTILE,UP,2,0.0
5m,INVERSE_PREDICTOR,DOWN,6,0.0
5m,INVERSE_PREDICTOR,UP,6,0.0
5m,MACD,DOWN,26,0.0
5m,MACD,UP,26,0.0
5m,OSC_PREDICTOR,DOWN,24,0.0
5m,OSC_PREDICTOR,UP,24,0.0
5m,PURE_DNO,DOWN,1,0.0
5m,PURE_DNO,UP,1,0.0
5m,STOCHASTIC,DOWN,17,0.0
5m,STOCHASTIC,UP,17,0.0
6H,DMA,DOWN,84,0.2564859602851722
6H,DMA,UP,84,0.2784008734772741
6H,DNO_QUANTILE,DOWN,2,0.2647970598088705
6H,DNO_QUANTILE,UP,2,0.2010112495383544
6H,INVERSE_PREDICTOR,DOWN,6,0.2759664096842254
6H,INVERSE_PREDICTOR,UP,6,0.2989394411292305
6H,MACD,DOWN,26,0.3404434977235164
6H,MACD,UP,26,0.3788110031427229
6H,OSC_PREDICTOR,DOWN,24,0.24888241121237525
6H,OSC_PREDICTOR,UP,24,0.2663700220406873
6H,PURE_DNO,DOWN,1,0.2841327108092812
6H,PURE_DNO,UP,1,0.3031904357668364
6H,STOCHASTIC,DOWN,17,0.26524432062376363
6H,STOCHASTIC,UP,17,0.29341335617377834
8H,DMA,DOWN,84,0.2533357862923525
8H,DMA,UP,84,0.2771784551772676
8H,DNO_QUANTILE,DOWN,2,0.24621494219891737
8H,DNO_QUANTILE,UP,2,0.23804154293133814
