2026-09-02T13:00:02.682072+00:00 | alive=YES | ps=State:R etime:04:04:45 pcpu:59.9 rss:4309048 | tf=5m | progress=175/320 | log_mtime=0 | note=initial_record
2026-09-02T13:00:44.158826+00:00 | alive=YES | ps=R    04:06:10 60.1 4309048 02:28:10 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T13:15:47.866564+00:00 | alive=YES | ps=R    04:21:14 62.4 4309048 02:43:12 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T13:30:52.675517+00:00 | alive=YES | ps=R    04:36:18 64.5 4317148 02:58:15 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T13:45:57.454345+00:00 | alive=YES | ps=R    04:51:23 66.3 4317148 03:13:19 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T14:01:02.306354+00:00 | alive=YES | ps=R    05:06:28 67.9 4317148 03:28:22 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T14:16:06.120413+00:00 | alive=YES | ps=R    05:21:32 69.4 4506952 03:43:26 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T14:31:10.633557+00:00 | alive=YES | ps=R    05:36:36 70.8 4561712 03:58:28 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T14:46:15.459047+00:00 | alive=YES | ps=R    05:51:41 72.0 4608528 04:13:31 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T17:18:30.869733+00:00 | alive=YES | ps=R    08:23:56 80.4 4660636 06:45:32 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-02T17:33:34.648790+00:00 | alive=YES | ps=R    08:39:01 81.0 4690632 07:00:35 | tf=5m | progress=175/320 | log_mtime=1788349457
2026-09-03T04:06:04.684674+00:00 | alive=YES | ps=R    19:11:31 55.3 4360448 10:36:52 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T04:21:08.430455+00:00 | alive=YES | ps=R    19:26:35 55.8 4388996 10:51:54 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T04:36:13.115443+00:00 | alive=YES | ps=R    19:41:39 56.4 4273372 11:06:57 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T04:51:16.837997+00:00 | alive=YES | ps=R    19:56:43 56.9 4342960 11:22:00 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T05:06:20.648169+00:00 | alive=YES | ps=R    20:11:47 57.5 4383496 11:37:02 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T05:21:24.366032+00:00 | alive=YES | ps=R    20:26:51 58.0 4415396 11:52:05 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T05:36:28.061013+00:00 | alive=YES | ps=R    20:41:54 58.5 4443188 12:07:08 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T05:51:33.756786+00:00 | alive=YES | ps=R    20:56:59 59.0 4316600 12:22:10 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T06:06:38.689145+00:00 | alive=YES | ps=R    21:12:04 59.5 4382264 12:37:15 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T06:21:42.934515+00:00 | alive=YES | ps=R    21:27:09 60.0 4421628 12:52:19 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T06:36:47.833298+00:00 | alive=YES | ps=R    21:42:13 60.4 4453548 13:07:21 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T06:51:52.341419+00:00 | alive=YES | ps=R    21:57:18 60.9 4481296 13:22:25 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T07:06:57.882889+00:00 | alive=YES | ps=R    22:12:23 61.3 4365172 13:37:29 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T07:22:04.344890+00:00 | alive=YES | ps=R    22:27:29 61.7 4424508 13:52:34 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T07:37:09.373323+00:00 | alive=YES | ps=R    22:42:35 62.2 4461780 14:07:38 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T07:52:15.636275+00:00 | alive=YES | ps=R    22:57:40 62.6 4491724 14:22:43 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T08:07:22.198681+00:00 | alive=YES | ps=R    23:12:46 63.0 4517992 14:37:48 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T08:22:28.556695+00:00 | alive=YES | ps=R    23:27:53 63.4 4411560 14:52:53 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T08:37:34.001545+00:00 | alive=YES | ps=R    23:42:59 63.8 4461764 15:07:57 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T08:52:39.947625+00:00 | alive=YES | ps=R    23:58:04 64.1 4497956 15:23:01 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T09:07:45.043297+00:00 | alive=YES | ps=R  1-00:13:10 64.5 4528644 15:38:05 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T09:22:51.455867+00:00 | alive=YES | ps=R  1-00:28:16 64.9 4555468 15:53:10 | tf=5m | progress=200/320 | log_mtime=1788371498
2026-09-03T09:37:57.891482+00:00 | alive=YES | ps=R  1-00:43:22 65.2 4439548 16:08:15 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T09:53:02.690960+00:00 | alive=YES | ps=R  1-00:58:29 65.6 4489076 16:23:20 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T10:08:06.584449+00:00 | alive=YES | ps=R  1-01:13:33 65.9 3819756 16:38:22 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T10:23:11.673286+00:00 | alive=YES | ps=R  1-01:28:37 66.2 3859944 16:53:25 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T10:38:15.459103+00:00 | alive=YES | ps=R  1-01:43:42 66.6 3886848 17:08:28 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T10:53:19.200891+00:00 | alive=YES | ps=R  1-01:58:45 66.9 3797712 17:23:31 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T11:08:22.952617+00:00 | alive=YES | ps=R  1-02:13:49 67.2 3845904 17:38:33 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T11:23:27.261814+00:00 | alive=YES | ps=R  1-02:28:53 67.5 3881672 17:53:36 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T11:38:31.212736+00:00 | alive=YES | ps=R  1-02:43:57 67.8 3911896 18:08:38 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T11:53:36.292984+00:00 | alive=YES | ps=R  1-02:59:02 68.1 3956852 18:23:41 | tf=5m | progress=225/320 | log_mtime=1788427540
2026-09-03T12:08:41.528919+00:00 | alive=YES | ps=R  1-03:14:07 68.4 4173532 18:38:45 | tf=5m | progress=250/320 | log_mtime=1788437016
2026-09-03T12:23:46.961881+00:00 | alive=YES | ps=R  1-03:29:12 68.7 4402496 18:53:49 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T12:38:52.235008+00:00 | alive=YES | ps=R  1-03:44:17 69.0 4408848 19:08:52 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T12:55:09.226205+00:00 | alive=YES | ps=R  1-04:00:34 69.3 4410704 19:25:07 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T13:10:17.128808+00:00 | alive=YES | ps=R  1-04:15:41 69.6 4410704 19:40:13 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T16:37:09.716915+00:00 | alive=YES | ps=R  1-07:42:35 72.8 4429708 23:06:49 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T16:52:14.645657+00:00 | alive=YES | ps=R  1-07:57:40 73.1 4429708 23:21:52 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T17:07:20.187056+00:00 | alive=YES | ps=R  1-08:12:45 73.3 4429708 23:36:56 | tf=5m | progress=275/320 | log_mtime=1788437876
2026-09-03T17:22:23.989762+00:00 | alive=YES | ps=R  1-08:27:50 73.5 4878288 23:52:00 | tf=5m | progress=300/320 | log_mtime=1788455966
2026-09-03T17:37:29.217332+00:00 | alive=YES | ps=R  1-08:42:54 73.7 5202176 1-00:06:58 | tf=15m | progress=50/320 | log_mtime=1788456919
2026-09-03T17:52:32.931853+00:00 | alive=YES | ps=R  1-08:57:59 73.9 5662032 1-00:22:01 | tf=15m | progress=150/320 | log_mtime=1788457696
2026-09-03T18:07:36.598493+00:00 | alive=YES | ps=R  1-09:13:02 74.1 5664576 1-00:37:03 | tf=15m | progress=175/320 | log_mtime=1788458229
2026-09-03T18:22:41.014513+00:00 | alive=YES | ps=R  1-09:28:07 74.3 5767496 1-00:52:06 | tf=15m | progress=175/320 | log_mtime=1788458229
2026-09-03T18:37:44.670051+00:00 | alive=YES | ps=R  1-09:43:11 74.4 5761028 1-01:07:08 | tf=15m | progress=175/320 | log_mtime=1788458229
2026-09-03T19:05:53.400404+00:00 | alive=NO | ps=DEAD | tf=unknown | progress=unknown | log_mtime=0
2026-09-04T04:32:55.350740+00:00 | alive=YES | ps=R  1-19:38:22 64.4 6660064 1-04:06:38 | tf=30m | progress=275/320 | log_mtime=1788495899
2026-09-04T04:47:59.131703+00:00 | alive=YES | ps=R  1-19:53:25 64.6 6977408 1-04:21:41 | tf=1H | progress=175/320 | log_mtime=1788497148
2026-09-04T05:03:04.389618+00:00 | alive=YES | ps=R  1-20:08:30 64.8 7123188 1-04:36:45 | tf=2H | progress=25/320 | log_mtime=1788498152
2026-09-04T05:18:09.618674+00:00 | alive=YES | ps=R  1-20:23:35 65.0 7327360 1-04:51:49 | tf=4H | progress=200/320 | log_mtime=1788499064
2026-09-04T05:33:14.647573+00:00 | alive=YES | ps=R  1-20:38:40 65.2 7471848 1-05:06:53 | tf=12H | progress=150/320 | log_mtime=1788499981
2026-09-04T05:48:18.431771+00:00 | alive=YES | ps=R  1-20:53:45 65.4 7544536 1-05:21:57 | tf=1D | progress=300/320 | log_mtime=1788500297
2026-09-04T06:03:23.458048+00:00 | alive=NO | ps=DEAD | tf=1D | progress=300/320 | log_mtime=1788501771
