candidate_id,family,formula_variant,parameter_set_id,parameters,decision_tf,direction,event_primitive,up_primitive,down_primitive,reference_status,is_reference,execution_route,version,comparison_scope,discovery_precision_delta,validation_precision_delta,discovery_signals,validation_signals,discovery_fold_class,validation_stability_class,discovery_sample_flag,validation_sample_flag,stability_class
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_EMA_P10_SHIFT5_V1,"{'ma_type': 'EMA', 'period': 10, 'display_shift': 5}",5m,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.0,0.0016868786717136404,33044,11328,UNSTABLE_DISCOVERY,WEAK_POSITIVE,NORMAL,NORMAL,WEAK_POSITIVE
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_EMA_P10_SHIFT5_V1,"{'ma_type': 'EMA', 'period': 10, 'display_shift': 5}",5m,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.0,0.0017399621570984116,33040,11329,UNSTABLE_DISCOVERY,WEAK_POSITIVE,NORMAL,NORMAL,WEAK_POSITIVE
DMA|DMA_EMA_P20_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|6H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_EMA_P20_SHIFT5_V1,"{'ma_type': 'EMA', 'period': 20, 'display_shift': 5}",6H,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.3288210059746756,0.32440063404002384,262,98,STABLE_POSITIVE_FOLDS,STABLE_POSITIVE,NORMAL,LOW_SAMPLE,STABLE_POSITIVE
DMA|DMA_EMA_P20_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|6H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_EMA_P20_SHIFT5_V1,"{'ma_type': 'EMA', 'period': 20, 'display_shift': 5}",6H,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.3263538768422343,0.32440063404002384,263,98,STABLE_POSITIVE_FOLDS,STABLE_POSITIVE,NORMAL,LOW_SAMPLE,STABLE_POSITIVE
DMA|DMA_EMA_P25_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|8H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_EMA_P25_SHIFT5_V1,"{'ma_type': 'EMA', 'period': 25, 'display_shift': 5}",8H,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.3358027263140078,0.2853535353535353,178,72,STABLE_POSITIVE_FOLDS,STABLE_POSITIVE,NORMAL,LOW_SAMPLE,STABLE_POSITIVE
DMA|DMA_EMA_P25_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|8H|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_EMA_P25_SHIFT5_V1,"{'ma_type': 'EMA', 'period': 25, 'display_shift': 5}",8H,DOWN,PRICE_CROSS_DOWN_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.3358027263140078,0.2853535353535353,178,72,STABLE_POSITIVE_FOLDS,STABLE_POSITIVE,NORMAL,LOW_SAMPLE,STABLE_POSITIVE
DMA|DMA_SMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|6H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P14_SHIFT5_V1,"{'ma_type': 'SMA', 'period': 14, 'display_shift': 5}",6H,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.3793217823452029,0.28203883495145626,302,105,STABLE_POSITIVE_FOLDS,STABLE_POSITIVE,NORMAL,NORMAL,STABLE_POSITIVE
DMA|DMA_SMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|6H|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P14_SHIFT8_V1,"{'ma_type': 'SMA', 'period': 14, 'display_shift': 8}",6H,UP,PRICE_CROSS_UP_MA,PRICE_CROSS_UP_MA,PRICE_CROSS_DOWN_MA,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.3793217823452029,0.28203883495145626,302,105,STABLE_POSITIVE_FOLDS,STABLE_POSITIVE,NORMAL,NORMAL,STABLE_POSITIVE
DMA|DMA_SMA_P20_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|DOWN,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P20_SHIFT5_V1,"{'ma_type': 'SMA', 'period': 20, 'display_shift': 5}",15m,DOWN,MA_SLOPE_TURN_DOWN,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.009485039573442756,0.026042852496340866,6074,2080,STABLE_POSITIVE_FOLDS,WEAK_POSITIVE,NORMAL,NORMAL,WEAK_POSITIVE
DMA|DMA_SMA_P20_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|UP,DMA,PROJECT_RESEARCH_DMA,DMA_SMA_P20_SHIFT5_V1,"{'ma_type': 'SMA', 'period': 20, 'display_shift': 5}",15m,UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_UP,MA_SLOPE_TURN_DOWN,PROJECT_RESEARCH,False,PROJECT_RESEARCH_DMA,MULTITF_INDICATOR_PARAMETER_SEARCH_V2,SINGLE_FAMILY_SINGLE_PRIMITIVE,0.009493165014350782,0.027010821877742033,6070,2080,STABLE_POSITIVE_FOLDS,WEAK_POSITIVE,NORMAL,NORMAL,WEAK_POSITIVE
