candidate_id,timeframe,direction,family,precision_delta,bootstrap_p,passes_fdr
DMA|DMA_EMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.28784793532881797,1.0,False
DMA|DMA_EMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.28784793532881797,1.0,False
DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2619919110212336,1.0,False
DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2619919110212336,1.0,False
DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2619919110212336,1.0,False
DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2619919110212336,1.0,False
DMA|DMA_EMA_P20_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2890683229813665,1.0,False
DMA|DMA_EMA_P20_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2890683229813665,1.0,False
DMA|DMA_EMA_P25_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2822592442096708,1.0,False
DMA|DMA_EMA_P25_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2822592442096708,1.0,False
DMA|DMA_EMA_P25_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2822592442096708,1.0,False
DMA|DMA_EMA_P25_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2822592442096708,1.0,False
DMA|DMA_EMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT2_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT2_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P3_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.16097045399951954,1.0,False
DMA|DMA_EMA_P5_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2315201973481344,1.0,False
DMA|DMA_EMA_P5_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2315201973481344,1.0,False
DMA|DMA_EMA_P5_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2315201973481344,1.0,False
DMA|DMA_EMA_P5_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2315201973481344,1.0,False
DMA|DMA_EMA_P7_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.27564097779436464,1.0,False
DMA|DMA_EMA_P7_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.27564097779436464,1.0,False
DMA|DMA_EMA_P7_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.27564097779436464,1.0,False
DMA|DMA_EMA_P7_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.27564097779436464,1.0,False
DMA|DMA_SMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.16896865520728005,1.0,False
DMA|DMA_SMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.30104523495827845,1.0,False
DMA|DMA_SMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.17096581480252238,1.0,False
DMA|DMA_SMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2735480407944176,1.0,False
DMA|DMA_SMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.17096581480252238,1.0,False
DMA|DMA_SMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2735480407944176,1.0,False
DMA|DMA_SMA_P20_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.13794050343249425,1.0,False
DMA|DMA_SMA_P20_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.29682985279014035,1.0,False
DMA|DMA_SMA_P25_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.23033816425120773,1.0,False
DMA|DMA_SMA_P25_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.3518659420289855,1.0,False
DMA|DMA_SMA_P25_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.23033816425120773,1.0,False
DMA|DMA_SMA_P25_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.3518659420289855,1.0,False
DMA|DMA_SMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.26110182693669454,1.0,False
DMA|DMA_SMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.10504265597697604,1.0,False
DMA|DMA_SMA_P3_SHIFT2_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.26110182693669454,1.0,False
DMA|DMA_SMA_P3_SHIFT2_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.10504265597697604,1.0,False
DMA|DMA_SMA_P3_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.26110182693669454,1.0,False
DMA|DMA_SMA_P3_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.10504265597697604,1.0,False
DMA|DMA_SMA_P3_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.26110182693669454,1.0,False
DMA|DMA_SMA_P3_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.10504265597697604,1.0,False
DMA|DMA_SMA_P5_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2873952213082647,1.0,False
DMA|DMA_SMA_P5_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.24133550971954293,1.0,False
DMA|DMA_SMA_P5_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2873952213082647,1.0,False
DMA|DMA_SMA_P5_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.24133550971954293,1.0,False
DMA|DMA_SMA_P7_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.21975615366919715,1.0,False
DMA|DMA_SMA_P7_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.29867641400538664,1.0,False
DMA|DMA_SMA_P7_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.21975615366919715,1.0,False
DMA|DMA_SMA_P7_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.29867641400538664,1.0,False
DMA|DMA_WMA_P10_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.31412687099073416,1.0,False
DMA|DMA_WMA_P10_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2959279831449914,1.0,False
DMA|DMA_WMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2938302277432712,1.0,False
DMA|DMA_WMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2858937198067633,1.0,False
DMA|DMA_WMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.2938302277432712,1.0,False
DMA|DMA_WMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2858937198067633,1.0,False
DMA|DMA_WMA_P20_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.28453870625662775,1.0,False
DMA|DMA_WMA_P20_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.28453870625662775,1.0,False
DMA|DMA_WMA_P25_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.34511227902532243,1.0,False
DMA|DMA_WMA_P25_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2789492753623188,1.0,False
DMA|DMA_WMA_P25_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.34511227902532243,1.0,False
DMA|DMA_WMA_P25_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.2789492753623188,1.0,False
DMA|DMA_WMA_P3_SHIFT0_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|DOWN,12H,DOWN,DMA,0.20575606002308583,1.0,False
DMA|DMA_WMA_P3_SHIFT0_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|DOWN,12H,DOWN,DMA,0.08048436308161705,1.0,False
