candidate_id,family,role,decision_tf,partition,source_wave_tf,pivot_type,n_events,TOTAL_SIGNALS,MATCHED_POST_C_SIGNALS,PRE_C_WARNING_SIGNALS,UNMATCHED_SIGNALS,FALSE_POSITIVE_RATE,PRECISION,EVENT_RECALL,SIGNALS_PER_YEAR,FALSE_SIGNALS_PER_YEAR,MEDIAN_DELAY_SECONDS,P75_DELAY_SECONDS,P90_DELAY_SECONDS,MEDIAN_PRICE_DISTANCE_FROM_C_PCT,MEDIAN_PRICE_DISTANCE_FROM_C_ATR,MEDIAN_REMAINING_WAVE_FRACTION,MEDIAN_MAE_AFTER_SIGNAL,P90_MAE_AFTER_SIGNAL,MEDIAN_MFE_AFTER_SIGNAL,MFE_MAE_RATIO,PRE_C_SIGNAL_RATE,MEDIAN_PRE_C_LEAD,MEDIAN_ADVERSE_EXTENSION_AFTER_PRE_C,SCANNED_TIME_FROM,SCANNED_TIME_TO,VALID_DECISION_BARS,YEARS_COVERED,sample_flag,direction,event_primitive,parameter_set_id,is_reference,PRECISION_DELTA,FPR_DELTA,PREMATURE_DELTA,discovery_fold_stability,RECALL_DELTA,MEDIAN_DELAY_SECONDS_DELTA
DMA|DMA_SMA_P25_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,16285,0,0,16285,1.0,0.0,,5288.1106611019195,5288.1106611019195,,,,,,,,,,,0.0,,,,,323329,3.079549775648338,NORMAL,DOWN,MA_SLOPE_TURN_DOWN,DMA_SMA_P25_SHIFT5_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P25_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,16282,0,0,16282,1.0,0.0,,5286.15740546413,5286.15740546413,,,,,,,,,,,0.0,,,,,323329,3.080120161228991,NORMAL,UP,MA_SLOPE_TURN_UP,DMA_SMA_P25_SHIFT5_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P25_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,18795,0,0,18795,1.0,0.0,,6101.752181199251,6101.752181199251,,,,,,,,,,,0.0,,,,,323329,3.080262757624154,NORMAL,DOWN,PRICE_CROSS_DOWN_MA,DMA_SMA_P25_SHIFT5_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P25_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,18793,0,0,18793,1.0,0.0,,6100.83928488765,6100.83928488765,,,,,,,,,,,0.0,,,,,323329,3.080395847592973,NORMAL,UP,PRICE_CROSS_UP_MA,DMA_SMA_P25_SHIFT5_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P3_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,44424,0,0,44424,1.0,0.0,,14420.855576951564,14420.855576951564,,,,,,,,,,,0.0,,,,,323329,3.080538443988136,NORMAL,DOWN,MA_SLOPE_TURN_DOWN,DMA_SMA_P3_SHIFT3_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P3_SHIFT3_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,44453,0,0,44453,1.0,0.0,,14430.180453633699,14430.180453633699,,,,,,,,,,,0.0,,,,,323329,3.0805574568408245,NORMAL,UP,MA_SLOPE_TURN_UP,DMA_SMA_P3_SHIFT3_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P3_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,61677,0,0,61677,1.0,0.0,,20021.438066465256,20021.438066465256,,,,,,,,,,,0.0,,,,,323329,3.08054795041448,NORMAL,DOWN,PRICE_CROSS_DOWN_MA,DMA_SMA_P3_SHIFT3_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P3_SHIFT3_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,61710,0,0,61710,1.0,0.0,,20032.02681059463,20032.02681059463,,,,,,,,,,,0.0,,,,,323329,3.0805669632671684,NORMAL,UP,PRICE_CROSS_UP_MA,DMA_SMA_P3_SHIFT3_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P7_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|DOWN,DMA,DIRECTIONAL,5m,DISCOVERY,5m,HIGH,0,29634,0,0,29634,1.0,0.0,,9620.63752013777,9620.63752013777,,,,,,,,,,,0.0,,,,,323329,3.0802532511978096,NORMAL,DOWN,MA_SLOPE_TURN_DOWN,DMA_SMA_P7_SHIFT5_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
DMA|DMA_SMA_P7_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|5m|UP,DMA,DIRECTIONAL,5m,DISCOVERY,5m,LOW,0,29656,0,0,29656,1.0,0.0,,9627.393527162525,9627.393527162525,,,,,,,,,,,0.0,,,,,323329,3.0803768347402842,NORMAL,UP,MA_SLOPE_TURN_UP,DMA_SMA_P7_SHIFT5_V1,True,0.0,0.0,0.0,UNSTABLE_DISCOVERY,,
