timeframe,split,direction,horizon,base_rates,identical
12H,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4753223654957759, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4753223654957759, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4753223654957759}",True
12H,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4712950600801068, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4712950600801068, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4712950600801068}",True
12H,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4552338530066815, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4552338530066815, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4552338530066815}",True
12H,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.44375, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.44375, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.44375}",True
12H,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5246776345042241, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5246776345042241, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5246776345042241}",True
12H,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5282599020916778, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5282599020916778, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5282599020916778}",True
12H,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5443207126948775, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5443207126948775, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5443207126948775}",True
12H,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5558035714285714, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5558035714285714, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5558035714285714}",True
12H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.520694259012016, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.520694259012016, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.520694259012016}",True
12H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5033467202141901, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5033467202141901, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5033467202141901}",True
12H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4912751677852349, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4912751677852349, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4912751677852349}",True
12H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4635135135135135, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4635135135135135, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4635135135135135}",True
12H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.47930574098798395, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.47930574098798395, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.47930574098798395}",True
12H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4966532797858099, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4966532797858099, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4966532797858099}",True
12H,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.508724832214765, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.508724832214765, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.508724832214765}",True
12H,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5364864864864864, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5364864864864864, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5364864864864864}",True
15m,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4947619940029985, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4947619940029985, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4947619940029985}",True
15m,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4919038962499297, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4919038962499297, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4919038962499297}",True
15m,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.490957307245399, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.490957307245399, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.490957307245399}",True
15m,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48702570494138375, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48702570494138375, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48702570494138375}",True
15m,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.501358695652174, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.501358695652174, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.501358695652174}",True
15m,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.505519218875916, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.505519218875916, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.505519218875916}",True
15m,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5073653435286181, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5073653435286181, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5073653435286181}",True
15m,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5113624649754945, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5113624649754945, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5113624649754945}",True
15m,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4963006230529595, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4963006230529595, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4963006230529595}",True
15m,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49732962447844226, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49732962447844226, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49732962447844226}",True
15m,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49688438856125516, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49688438856125516, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49688438856125516}",True
15m,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49995826725648945, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49995826725648945, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49995826725648945}",True
15m,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5019748553627058, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5019748553627058, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5019748553627058}",True
15m,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5014186369958276, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5014186369958276, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5014186369958276}",True
15m,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5025036163347056, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5025036163347056, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5025036163347056}",True
15m,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4997078707954261, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4997078707954261, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4997078707954261}",True
1D,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.46441281138790036, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.46441281138790036, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.46441281138790036}",True
1D,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.45276292335115864, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.45276292335115864, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.45276292335115864}",True
1D,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4455357142857143, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4455357142857143, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4455357142857143}",True
1D,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4260089686098655, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4260089686098655, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4260089686098655}",True
1D,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5355871886120996, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5355871886120996, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5355871886120996}",True
1D,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5472370766488414, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5472370766488414, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5472370766488414}",True
1D,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5535714285714286, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5535714285714286, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5535714285714286}",True
1D,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5739910313901345, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5739910313901345, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5739910313901345}",True
1D,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.516042780748663, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.516042780748663, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.516042780748663}",True
1D,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.47043010752688175, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.47043010752688175, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.47043010752688175}",True
1D,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4702702702702703, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4702702702702703, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4702702702702703}",True
1D,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4438356164383562, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4438356164383562, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4438356164383562}",True
1D,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4839572192513369, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4839572192513369, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4839572192513369}",True
1D,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5295698924731183, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5295698924731183, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5295698924731183}",True
1D,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5297297297297298, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5297297297297298, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5297297297297298}",True
1D,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5561643835616439, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5561643835616439, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5561643835616439}",True
1H,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4912879950875038, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4912879950875038, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4912879950875038}",True
1H,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4836493436708375, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4836493436708375, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4836493436708375}",True
1H,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4809995393827729, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4809995393827729, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4809995393827729}",True
1H,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4794026183437632, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4794026183437632, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4794026183437632}",True
1H,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5063708934602394, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5063708934602394, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5063708934602394}",True
1H,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5151992016580947, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5151992016580947, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5151992016580947}",True
1H,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5181559957009059, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5181559957009059, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5181559957009059}",True
1H,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5196375782239797, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5196375782239797, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5196375782239797}",True
1H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5035762181493071, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5035762181493071, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5035762181493071}",True
1H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49586407332886207, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49586407332886207, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49586407332886207}",True
1H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4991055456171735, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4991055456171735, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4991055456171735}",True
1H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5120259536860946, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5120259536860946, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5120259536860946}",True
1H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4957532409476978, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4957532409476978, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4957532409476978}",True
1H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5036887994634474, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5036887994634474, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5036887994634474}",True
