timeframe,split,direction,control_id,event_semantics,comparison_scope,horizon,event_count,base_sample_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_pct_mean,mfe_pct_median,mfe_pct_mean_ci_lo,mfe_pct_mean_ci_hi,mae_pct_mean,mae_pct_median,mae_pct_mean_ci_lo,mae_pct_mean_ci_hi,mfe_atr_mean,mfe_atr_median,mfe_atr_mean_ci_lo,mfe_atr_mean_ci_hi,mae_atr_mean,mae_atr_median,mae_atr_mean_ci_lo,mae_atr_mean_ci_hi
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,130,2249,N_GE_100,0.4461538461538462,0.3634686477864737,0.5319300922166345,0.4753223654957759,-0.02916851934192971,-0.061365762394761436,0.005954208330312371,0.0017610941209410536,1.4674006822350927e-05,0.0128079723878344,2.788694047797433,2.0261195782536117,2.367925316754455,3.2661563912943654,3.2439548663461486,2.025653036169115,2.683662936919495,3.8577641666387166,0.6255087241622229,0.47243876411377694,0.5364084571076307,0.7380084389977511,0.7811838084800535,0.4948212551207223,0.6600491185260003,0.9270119909208115
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,130,2247,N_GE_100,0.43846153846153846,0.3561441424577135,0.5243115604029815,0.4712950600801068,-0.03283352161856834,-0.06966659402920028,0.0155775003419135,0.008887455320959914,0.004696264346012865,0.026336341030058746,4.292652601285872,3.0504430988857862,3.6391200966012143,5.0267569122450615,5.831587374380884,4.3497246831020355,4.74167861827006,6.920250346671383,0.9653994371507049,0.7640977276946502,0.8264630625274088,1.120513148211788,1.4305014342545186,1.0594189966794194,1.1909569760142975,1.7103262781670572
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,130,2245,N_GE_100,0.4153846153846154,0.3342905969843901,0.5013359944490656,0.4552338530066815,-0.0398492376220661,-0.08753575191931351,0.02134849818008944,0.01594553077724903,0.007614163535033172,0.03531759201553093,5.213002513105946,3.517979387840204,4.357358805905688,6.114037100768821,7.369005905099552,5.540153721366414,6.229312160923862,8.662834651410993,1.1697704564246536,0.9236881722195847,1.0001825804763766,1.3553318032483044,1.8265034946624024,1.3468072629957621,1.5188644593834564,2.1520933517776633
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,129,2240,N_GE_100,0.4496124031007752,0.3664624265425491,0.5356766624175358,0.44375,0.0058624031007752375,0.013211049241183659,0.025724306030352046,0.008980716253443433,0.005744196728863124,0.04514514639978122,7.610654941666171,5.889230769230766,6.502950271074055,8.784313330044888,10.26365075120101,7.632266204994274,8.669615994194974,11.913499499843729,1.75399515351643,1.4526132356234238,1.4881954441839178,2.0409880150017994,2.630790153453208,1.821315213312083,2.2025951058192406,3.092295344960891
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,213,2249,N_GE_100,0.4507042253521127,0.3853450077431652,0.5178101064046736,0.4753223654957759,-0.024618140143663203,-0.05179251373535876,0.003797082596509104,0.0015884656362856742,-0.000658005902461616,0.008204010751543702,2.375821343938189,1.6969050160085355,2.068320921153341,2.702905197364774,2.6503843422452475,1.86784887700884,2.291365346897279,2.9948404402166107,0.5011448706092808,0.39041630893725765,0.44596184391689575,0.5768348763840225,0.576016764787379,0.3833827477014778,0.4896879898031492,0.6542956853334667
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,213,2247,N_GE_100,0.47417840375586856,0.40817206570259545,0.5410996607557963,0.4712950600801068,0.0028833436757617625,0.006117916184548378,0.005009052886152355,0.0016629664235079389,-0.0031886861832141574,0.012215360443050171,4.117749854994158,2.71475876412797,3.5778805221813967,4.686903393559022,4.650084632833811,3.4282319996605763,4.012727297977005,5.399526809797021,0.8561655917657048,0.6374343909159298,0.757437515524375,0.9620031627588378,1.0416670069401306,0.7336948183784545,0.895315758697203,1.1980554784151087
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,213,2245,N_GE_100,0.5211267605633803,0.45425982853643193,0.5872451225430656,0.4552338530066815,0.06589290755669874,0.14474518342934317,0.007235637867051637,-0.0036336803991470212,-0.002570446730281774,0.017418247052766418,5.2919444930171595,3.8730288093577516,4.621881166798313,5.959786776678686,6.077825672452378,4.46587273373623,5.183741378018286,7.020430785471669,1.0981773173580462,0.8585669041902918,0.9930402420621267,1.2199632448117141,1.386808501801761,0.898102583863108,1.1979701346396612,1.6091305204013653
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,212,2240,N_GE_100,0.4481132075471698,0.3826854008193554,0.5153880011569087,0.44375,0.004363207547169845,0.009832580387988399,0.020065476693732754,0.012802092024520095,0.007020351395466995,0.03461344174146591,7.452929143962352,5.969933015755354,6.591126363852445,8.289380700936416,9.067823847000817,6.801191307013253,7.952294059315697,10.235975534212967,1.5837293916543767,1.2484483469977459,1.406864144597817,1.785248805492268,2.1301106292195233,1.3825635632398154,1.8193132852200415,2.4352765960226246
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,226,2249,N_GE_100,0.4557522123893805,0.3920995952137125,0.520883955196657,0.4753223654957759,-0.01957015310639537,-0.04117238010877755,0.003441941296582629,0.0016222830862796522,-0.0008178335207862616,0.007844369366142148,2.3964185426704945,1.6660136881152483,2.1000293545804283,2.7524168804917455,2.6232987621041435,1.869708773532592,2.2815706027090084,3.0132217346174746,0.5095878336842408,0.37883813585001536,0.45036065005386344,0.5726698865371398,0.5873041826898489,0.38342875071982574,0.5150059055554657,0.685525837977119
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,226,2247,N_GE_100,0.4646017699115044,0.4007113560878442,0.5296754842404513,0.4712950600801068,-0.006693290168602373,-0.01420191030108553,0.009874628875275583,0.003919027520529306,0.0029963157370126482,0.0175700476740263,3.9391730725303065,2.7276617208962914,3.478139120174675,4.477026668238047,4.830254906701877,3.4391552052667773,4.157869970328493,5.5462607063266995,0.8396635208808233,0.6439321234699562,0.7443976082562273,0.9382585491838444,1.1172908033932842,0.7268272173106598,0.9674379426002805,1.3187166974953342
