timeframe,split,direction,control_id,comparison_scope,denominator_label,denominator_count,event_count,events_per_1000
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,130,57.77777777777778
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,213,94.66666666666666
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,226,100.44444444444444
12H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,133,59.111111111111114
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,201,89.33333333333333
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,158,70.22222222222223
12H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,750,50,66.66666666666667
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,750,69,92.0
12H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,750,58,77.33333333333334
12H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,750,38,50.666666666666664
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,750,66,88.0
12H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,750,54,72.0
15m,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107531,5443,50.61796133208098
15m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107493,10809,100.55538500181407
15m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,106721,9214,86.3372719520994
15m,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107531,5443,50.61796133208098
15m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107493,11075,103.02996474189018
15m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,106721,9140,85.6438751510949
15m,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,35988,1829,50.82249638768478
15m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,35986,3495,97.12110265103095
15m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,35953,2952,82.10719550524296
15m,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,35988,1842,51.1837279093031
15m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,35986,3542,98.42716612015784
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,35953,2823,78.51917781548131
1D,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,90,80.0
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,117,104.0
