timeframe,direction,validation_event_n,sample_flag,validation_lift,discovery_lift,eligible
30m,OS,1350,N_GE_100,0.0728546373671721,0.0518914674150488,PREFERRED
1H,OS,692,N_GE_100,0.0634720082310484,0.0498582127421224,PREFERRED
6H,OS,114,N_GE_100,0.0593981611783469,0.0125031915472482,PREFERRED
15m,OB,2952,N_GE_100,0.0546339443031683,0.0498314183206654,PREFERRED
5m,OS,9251,N_GE_100,0.0540390374749755,0.0526080035877131,PREFERRED
5m,OB,9214,N_GE_100,0.0510589278277653,0.0431856703220264,PREFERRED
15m,OS,2823,N_GE_100,0.0475925472858993,0.052609634127367,PREFERRED
4H,OS,168,N_GE_100,0.0329409269275639,0.0589453745908494,PREFERRED
30m,OB,1400,N_GE_100,0.0321886191802626,0.0416227426924807,PREFERRED
2H,OS,356,N_GE_100,0.0258332000479827,0.0246751031965926,PREFERRED
1H,OB,661,N_GE_100,0.0152666177716313,0.0461964183521069,PREFERRED
2H,OB,343,N_GE_100,-0.0188544660365417,0.0101282909217471,PREFERRED
6H,OB,128,N_GE_100,-0.0214321524064171,0.0233258869752548,PREFERRED
4H,OB,166,N_GE_100,-0.0327823543617678,-0.0197663741004121,PREFERRED
8H,OS,85,N_30_99,0.0429621848739495,-0.002313489666763,LOW_SAMPLE
12H,OS,54,N_30_99,0.028312204822272,-1.6915226523028792e-05,LOW_SAMPLE
12H,OB,58,N_30_99,-0.0429993057162693,0.0403413682322565,LOW_SAMPLE
8H,OB,79,N_30_99,-0.05874773960217,-0.0582612100230794,LOW_SAMPLE
