timeframe,split,direction,control_id,event_semantics,horizon,event_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_mean,mfe_median,mfe_mean_ci_lo,mfe_mean_ci_hi,mae_mean,mae_median,mae_mean_ci_lo,mae_mean_ci_hi
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,144,N_GE_100,0.4305555555555556,0.35252216241189166,0.5121979163751345,0.4753223654957759,-0.04476680994022031,-0.09418199771333535,0.00402356218167075,0.0037866607241329175,-0.0026602713905931738,0.009873844534469465,7.244374927534805,5.5198095710433,6.214194637389997,8.347555059948577,9.706068989536568,7.60322493979765,8.456308804787298,10.943124825024167
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,144,N_GE_100,0.4375,0.35914105544017205,0.5191070154681514,0.4712950600801068,-0.0337950600801068,-0.07170679886685549,0.011266999998244483,0.00723871354333161,0.0019265302303011782,0.02082323115430351,7.244374927534805,5.5198095710433,6.214194637389997,8.347555059948577,9.706068989536568,7.60322493979765,8.456308804787298,10.943124825024167
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,144,N_GE_100,0.4791666666666667,0.3991775402732238,0.5602384833628841,0.4552338530066815,0.023932813659985175,0.05257257012394012,0.013581505791981899,0.004506540148431659,0.0005102766735092766,0.02691400880017535,7.244374927534805,5.5198095710433,6.214194637389997,8.347555059948577,9.706068989536568,7.60322493979765,8.456308804787298,10.943124825024167
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,143,N_GE_100,0.4195804195804196,0.34183688468115886,0.5015317519994549,0.44375,-0.024169580419580394,-0.05446666010046286,0.023396305879052122,0.01555392516507692,0.005386516450112509,0.04095102101268918,7.227498019519735,5.371778414140415,6.2233686379466295,8.316218751217724,9.77011667930996,7.632266204994274,8.5303455971242,11.069004659060584
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,141,N_GE_100,0.475177304964539,0.3945043568293785,0.5571669862101902,0.4753223654957759,-0.00014506053123686247,-0.0003051834749782101,0.004521563398146805,0.001382023069154359,-0.0011074548241375387,0.010748160608397197,7.51959078572392,5.7456714648934994,6.523895092615937,8.61488354302561,8.904550973551926,7.39376882002902,7.661956121764169,10.348909916413575
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,141,N_GE_100,0.44680851063829785,0.3672400378434736,0.5291985543841736,0.4712950600801068,-0.024486549441808947,-0.05195587969380988,0.01300658831093019,0.007114941376891393,0.0040350712481620685,0.021586176787506378,7.51959078572392,5.7456714648934994,6.523895092615937,8.61488354302561,8.904550973551926,7.39376882002902,7.661956121764169,10.348909916413575
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,141,N_GE_100,0.49645390070921985,0.41512088716989126,0.5779750189786187,0.4552338530066815,0.04122004770253834,0.09054697367142728,0.013144338653968008,0.0009828331804482282,0.003142895686492813,0.024200897052537286,7.51959078572392,5.7456714648934994,6.523895092615937,8.61488354302561,8.904550973551926,7.39376882002902,7.661956121764169,10.348909916413575
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,140,N_GE_100,0.42857142857142855,0.3495830563292003,0.5113751087635129,0.44375,-0.01517857142857143,-0.03420523138832998,0.017542507798265054,0.013463368207295323,-0.00022915403877948992,0.03550895645224421,7.504318057238447,5.639205356623431,6.421210577288797,8.56864493522151,8.964245985134855,7.456787031889043,7.707348707928743,10.283963770390082
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,149,N_GE_100,0.5234899328859061,0.44371550158975537,0.6020835478836866,0.5246776345042241,-0.0011877016183180489,-0.0022636787623705468,-0.00483082365002414,0.00134300658005726,-0.0114434883273891,0.0019280547518882737,8.614292985619983,6.734312927774849,7.526167867596581,9.940634826758961,9.360591744837386,5.824740044009147,7.925747211838521,11.095540075022829
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,149,N_GE_100,0.5167785234899329,0.43713097681847984,0.5955826299482643,0.5282599020916778,-0.011481378601744918,-0.021734336746521365,-0.002014209875294046,0.0024330900243310083,-0.011525642849165605,0.00799175232619609,8.614292985619983,6.734312927774849,7.526167867596581,9.940634826758961,9.360591744837386,5.824740044009147,7.925747211838521,11.095540075022829
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,149,N_GE_100,0.5906040268456376,0.5103364560820506,0.6663170204583678,0.5443207126948775,0.046283314150760146,0.08502949285471084,0.006314574334141512,0.01235667625965009,-0.007004561797744823,0.019546355832225547,8.614292985619983,6.734312927774849,7.526167867596581,9.940634826758961,9.360591744837386,5.824740044009147,7.925747211838521,11.095540075022829
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,149,N_GE_100,0.5771812080536913,0.49689802489707047,0.6535845662299526,0.5558035714285714,0.021377636625119933,0.03846257513274587,0.012705858294491446,0.016099730411937463,-0.004560178495950243,0.032797544771457986,8.614292985619983,6.734312927774849,7.526167867596581,9.940634826758961,9.360591744837386,5.824740044009147,7.925747211838521,11.095540075022829
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,115,N_GE_100,0.5217391304347826,0.4312223611420244,0.6108504483792206,0.5246776345042241,-0.0029385040694415165,-0.005600589535740608,-0.006792510785444806,0.001212622201575364,-0.013756962516208105,9.90943031112477e-05,7.920060903790117,6.370726249629804,6.818985487880324,9.131536212770298,9.2814300381514,5.146938105401409,7.581509663210783,11.348281978938887
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,115,N_GE_100,0.5565217391304348,0.46535589607313604,0.6440334086821011,0.5282599020916778,0.028261837038756954,0.05349987179956761,0.002909034536424746,0.0068349421428144375,-0.006942860065099773,0.013306410064023465,7.920060903790117,6.370726249629804,6.818985487880324,9.131536212770298,9.2814300381514,5.146938105401409,7.581509663210783,11.348281978938887
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,115,N_GE_100,0.5478260869565217,0.4567826246113187,0.6357775563354204,0.5443207126948775,0.003505374261644212,0.006439906069878321,0.0013659772051440567,0.009730764861487495,-0.012400629911475555,0.015276812627683779,7.920060903790117,6.370726249629804,6.818985487880324,9.131536212770298,9.2814300381514,5.146938105401409,7.581509663210783,11.348281978938887
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,115,N_GE_100,0.5826086956521739,0.4912372597020915,0.6686394164786398,0.5558035714285714,0.026805124223602483,0.048227693382224546,0.006748564790378671,0.01645397773554169,-0.01259395076926781,0.02568799123007264,7.920060903790117,6.370726249629804,6.818985487880324,9.131536212770298,9.2814300381514,5.146938105401409,7.581509663210783,11.348281978938887
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,47,N_30_99,0.40425531914893614,0.27639828961388174,0.5465813176368735,0.520694259012016,-0.1164389398630799,-0.2236224768139663,0.004638360730715705,0.0035335689045936647,-0.004890883222219253,0.013425884702105087,5.474854593027289,3.4251040941218323,3.9063973239951113,7.32000469779628,7.304846941438114,4.55619151449078,5.422868546033725,9.451450665162437
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,47,N_30_99,0.44680851063829785,0.31410747474911305,0.5875478626124176,0.5033467202141901,-0.056538209575892284,-0.1123245812584881,0.006611840277977202,0.0035417889177633555,-0.004185943438373077,0.016948763463026623,5.474854593027289,3.4251040941218323,3.9063973239951113,7.32000469779628,7.304846941438114,4.55619151449078,5.422868546033725,9.451450665162437
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,47,N_30_99,0.40425531914893614,0.27639828961388174,0.5465813176368735,0.4912751677852349,-0.08701984863629875,-0.1771305662132311,0.015391117156495694,0.011106568547288198,-0.0009257806360811647,0.03133429842044707,5.474854593027289,3.4251040941218323,3.9063973239951113,7.32000469779628,7.304846941438114,4.55619151449078,5.422868546033725,9.451450665162437
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,46,N_30_99,0.5869565217391305,0.44339242387017885,0.7171160670289899,0.4635135135135135,0.12344300822561699,0.2663201926733427,0.010988944361828101,-0.003634960306597934,-0.015406005719811974,0.03709461886077351,5.586381806452895,3.5106910360792773,4.058243275478335,7.460256490721789,7.397744199619335,4.860267368677077,5.49161948507061,9.665256818310587
12H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,43,N_30_99,0.37209302325581395,0.2437613889377433,0.5214046173472684,0.520694259012016,-0.1486012357562021,-0.2853905784138343,0.004082085332385601,0.0035335689045936647,-0.002263427097027468,0.010671890964850031,5.5826925791238455,3.4251040941218323,3.800190892888161,7.36847654258682,6.963656971549947,4.488089990367506,5.063268047349366,9.104451619462383
12H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,43,N_30_99,0.46511627906976744,0.32510826263918563,0.6108461027112722,0.5033467202141901,-0.0382304411444227,-0.07595249876298871,0.008440956240657417,0.0035417889177633555,-0.000427373388556845,0.0190118647186373,5.5826925791238455,3.4251040941218323,3.800190892888161,7.36847654258682,6.963656971549947,4.488089990367506,5.063268047349366,9.104451619462383
12H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,43,N_30_99,0.3953488372093023,0.263651061984564,0.5442120340668091,0.4912751677852349,-0.09592633057593258,-0.19525988054390653,0.013580787598386651,0.011106568547288198,-0.0017938918993285662,0.029943421129585066,5.5826925791238455,3.4251040941218323,3.800190892888161,7.36847654258682,6.963656971549947,4.488089990367506,5.063268047349366,9.104451619462383
12H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,42,N_30_99,0.5714285714285714,0.42205977911874476,0.7088257048085178,0.4635135135135135,0.1079150579150579,0.23281965847563502,0.004130907007428049,-0.005057685115780752,-0.029761629674041227,0.034928864302730685,5.707409003020857,3.5106910360792773,3.983459365072594,7.665705120204752,7.057278016941566,4.522140752429143,5.138028759073307,9.227978280929506
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,43,N_30_99,0.5116279069767442,0.36752063766074083,0.6538279072224399,0.47930574098798395,0.032322165988760254,0.06743538252251091,-0.0019252192060815148,0.001557580778790424,-0.008910929153575498,0.005278860505348977,6.324178113258786,5.1321138211382085,4.810457580452791,7.996318740787993,6.172305480089445,3.420690982786926,4.268833360199872,8.42156566781767
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,43,N_30_99,0.6046511627906976,0.4557879659331908,0.7363489380154359,0.4966532797858099,0.10799788300488772,0.21745126308531293,0.002950717502065098,0.005283397425179803,-0.007878922161310104,0.012513961314863004,6.324178113258786,5.1321138211382085,4.810457580452791,7.996318740787993,6.172305480089445,3.420690982786926,4.268833360199872,8.42156566781767
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,43,N_30_99,0.627906976744186,0.47859538265273166,0.7562386110622568,0.508724832214765,0.119182144529421,0.23427624716205453,0.0048698600008563525,0.012296648207956506,-0.017914077762813563,0.024498430776942616,6.324178113258786,5.1321138211382085,4.810457580452791,7.996318740787993,6.172305480089445,3.420690982786926,4.268833360199872,8.42156566781767
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,43,N_30_99,0.6046511627906976,0.4557879659331908,0.7363489380154359,0.5364864864864864,0.06816467630421119,0.12705758303555736,0.0031601882800960774,0.016669453268684187,-0.02306702707437882,0.02856490603153977,6.324178113258786,5.1321138211382085,4.810457580452791,7.996318740787993,6.172305480089445,3.420690982786926,4.268833360199872,8.42156566781767
12H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,31,N_30_99,0.5483870967741935,0.37771879603669134,0.7083851716341388,0.47930574098798395,0.06908135578620955,0.1441279539940694,-0.0043259454755742895,0.003007278763887067,-0.012191178103895854,0.003727800600955629,6.094007235346696,4.75951009814259,4.087109819026889,8.214417367710148,7.646000953380137,5.398129873491432,5.041119879185353,10.974413117031528
12H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,31,N_30_99,0.5161290322580645,0.34840118286973176,0.6803001396872117,0.4966532797858099,0.01947575247225458,0.039213981392922204,-0.0042884878505134285,7.671385731211622e-05,-0.018235644846657368,0.008148424890327672,6.094007235346696,4.75951009814259,4.087109819026889,8.214417367710148,7.646000953380137,5.398129873491432,5.041119879185353,10.974413117031528
12H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,31,N_30_99,0.4838709677419355,0.3196998603127883,0.6515988171302683,0.508724832214765,-0.024853864472829557,-0.04885522172099743,-0.012882908165111362,-0.0030778912440287964,-0.043925231250910066,0.012826839265510323,6.094007235346696,4.75951009814259,4.087109819026889,8.214417367710148,7.646000953380137,5.398129873491432,5.041119879185353,10.974413117031528
12H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,31,N_30_99,0.5483870967741935,0.37771879603669134,0.7083851716341388,0.5364864864864864,0.011900610287707059,0.02218249776549941,-0.008026422359440535,0.0067039829164914355,-0.04130194631561519,0.025424910760073634,6.094007235346696,4.75951009814259,4.087109819026889,8.214417367710148,7.646000953380137,5.398129873491432,5.041119879185353,10.974413117031528
15m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,7218,N_GE_100,0.5380991964533112,0.52658050647151,0.549577353318713,0.4947807346326837,0.043318461820627485,0.08755082562538807,0.000164092638522726,-0.00030041093672195096,3.2612519544805864e-05,0.0002984645934909602,1.1258639422141246,0.7361277341689829,1.0954257454225629,1.1593423059266552,1.114193028221675,0.7113355964488937,1.0851715704683553,1.1432934206708754
15m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,7218,N_GE_100,0.5314491548905514,0.5199233148912089,0.5429415366447207,0.49188515526902676,0.03956399962152468,0.08043340848512881,0.00015091655632599495,-0.000415181751303062,-4.8128812006757804e-05,0.0003365141781975437,1.1258639422141246,0.7361277341689829,1.0954257454225629,1.1593423059266552,1.114193028221675,0.7113355964488937,1.0851715704683553,1.1432934206708754
