timeframe,split,direction,distance_calibration_class,bins_used
12H,DISCOVERY,OB,MONOTONIC_DECREASING,7
12H,DISCOVERY,OS,MOSTLY_MONOTONIC_DECREASING,7
12H,VALIDATION,OB,MONOTONIC_DECREASING,7
12H,VALIDATION,OS,NON_MONOTONIC,7
15m,DISCOVERY,OB,MOSTLY_MONOTONIC_DECREASING,7
15m,DISCOVERY,OS,MOSTLY_MONOTONIC_DECREASING,7
15m,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
15m,VALIDATION,OS,MOSTLY_MONOTONIC_DECREASING,7
1D,DISCOVERY,OB,MOSTLY_MONOTONIC_DECREASING,7
1D,DISCOVERY,OS,MONOTONIC_DECREASING,7
1D,VALIDATION,OB,NON_MONOTONIC,6
1D,VALIDATION,OS,NON_MONOTONIC,7
1H,DISCOVERY,OB,MONOTONIC_DECREASING,7
1H,DISCOVERY,OS,MOSTLY_MONOTONIC_DECREASING,7
1H,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
1H,VALIDATION,OS,MOSTLY_MONOTONIC_DECREASING,7
2H,DISCOVERY,OB,MONOTONIC_DECREASING,7
2H,DISCOVERY,OS,MONOTONIC_DECREASING,7
2H,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
2H,VALIDATION,OS,MONOTONIC_DECREASING,7
30m,DISCOVERY,OB,MOSTLY_MONOTONIC_DECREASING,7
30m,DISCOVERY,OS,MOSTLY_MONOTONIC_DECREASING,7
30m,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
30m,VALIDATION,OS,MOSTLY_MONOTONIC_DECREASING,7
4H,DISCOVERY,OB,MONOTONIC_DECREASING,7
4H,DISCOVERY,OS,MONOTONIC_DECREASING,7
4H,VALIDATION,OB,MONOTONIC_DECREASING,7
4H,VALIDATION,OS,MOSTLY_MONOTONIC_DECREASING,7
5m,DISCOVERY,OB,MOSTLY_MONOTONIC_DECREASING,7
5m,DISCOVERY,OS,MOSTLY_MONOTONIC_DECREASING,7
5m,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
5m,VALIDATION,OS,MOSTLY_MONOTONIC_DECREASING,7
6H,DISCOVERY,OB,MONOTONIC_DECREASING,7
6H,DISCOVERY,OS,MONOTONIC_DECREASING,7
6H,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
6H,VALIDATION,OS,MONOTONIC_DECREASING,7
8H,DISCOVERY,OB,MONOTONIC_DECREASING,7
8H,DISCOVERY,OS,MONOTONIC_DECREASING,7
8H,VALIDATION,OB,MOSTLY_MONOTONIC_DECREASING,7
8H,VALIDATION,OS,MOSTLY_MONOTONIC_DECREASING,7
