timeframe,split,sample_count,sample_flag,ob_next_close_hit_rate,os_next_close_hit_rate,ob_next_intrabar_touch_rate,os_next_intrabar_touch_rate
12H,DISCOVERY,2250,N_GE_100,0.2088888888888889,0.15244444444444444,0.3302222222222222,0.2866666666666667
12H,VALIDATION,749,N_GE_100,0.1829105473965287,0.1548731642189586,0.28437917222963954,0.2870493991989319
15m,DISCOVERY,106721,N_GE_100,0.18143570618716093,0.17138145257259582,0.30798062237048,0.30322054703385465
15m,VALIDATION,35952,N_GE_100,0.17273030707610146,0.16861370716510904,0.29795282599020917,0.2936415220293725
1D,DISCOVERY,1125,N_GE_100,0.21688888888888888,0.1671111111111111,0.34844444444444445,0.29333333333333333
1D,VALIDATION,374,N_GE_100,0.1711229946524064,0.1657754010695187,0.2727272727272727,0.2967914438502674
1H,DISCOVERY,26057,N_GE_100,0.18221591127144338,0.16993514218827954,0.3099359097363472,0.30667383044863183
1H,VALIDATION,8948,N_GE_100,0.16618238712561467,0.1726642825212338,0.2922440768886902,0.3031962449709432
2H,DISCOVERY,12921,N_GE_100,0.1886076929030261,0.17189072053246654,0.3197120965869515,0.3021437969197431
2H,VALIDATION,4500,N_GE_100,0.17755555555555555,0.1771111111111111,0.292,0.3088888888888889
30m,DISCOVERY,52904,N_GE_100,0.17975956449417813,0.16872070164826855,0.3071034326326932,0.3064418569484349
30m,VALIDATION,17954,N_GE_100,0.17076974490364263,0.16336192491923807,0.3002116519995544,0.29369499832906315
4H,DISCOVERY,6584,N_GE_100,0.20610571081409476,0.16084447144592953,0.3273086269744836,0.28797083839611176
4H,VALIDATION,2249,N_GE_100,0.17563361493997331,0.17163183637172078,0.2961316140506892,0.2987994664295242
5m,DISCOVERY,322288,N_GE_100,0.18301022687782356,0.17717693491535522,0.3029371245594003,0.3018108027602641
5m,VALIDATION,107941,N_GE_100,0.1752994691544455,0.1752068259512141,0.28701790793118465,0.2885835780657952
6H,DISCOVERY,4443,N_GE_100,0.2086428089128967,0.15980193562907946,0.3288318703578663,0.29529597119063694
6H,VALIDATION,1500,N_GE_100,0.19466666666666665,0.18466666666666667,0.2986666666666667,0.304
8H,DISCOVERY,3375,N_GE_100,0.20355555555555555,0.15644444444444444,0.33037037037037037,0.2906666666666667
8H,VALIDATION,1124,N_GE_100,0.18683274021352314,0.1583629893238434,0.3087188612099644,0.29537366548042704
