timeframe,split,direction,horizon,sample_count_event,sample_count_base,sample_flag_event,sample_flag_base,reversal_rate_event,reversal_rate_base,absolute_lift,relative_lift,event_wilson_lo,event_wilson_hi
12H,DISCOVERY,OB,1,141,2250,N_GE_100,N_GE_100,0.475177304964539,0.47555555555555556,-0.0003782505910165379,-0.0007953867568104567,0.3945043568293785,0.5571669862101902
12H,DISCOVERY,OB,3,141,2250,N_GE_100,N_GE_100,0.44680851063829785,0.472,-0.025191489361702124,-0.0533717994951316,0.3672400378434736,0.5291985543841736
12H,DISCOVERY,OB,5,141,2250,N_GE_100,N_GE_100,0.49645390070921985,0.45644444444444443,0.04000945626477542,0.08765460233276023,0.41512088716989126,0.5779750189786187
12H,DISCOVERY,OB,10,141,2250,N_GE_100,N_GE_100,0.4326241134751773,0.44622222222222224,-0.013598108747044924,-0.030473849283716214,0.3537049455862771,0.5151172712354095
12H,DISCOVERY,OS,1,115,2250,N_GE_100,N_GE_100,0.5217391304347826,0.5244444444444445,-0.0027053140096618966,-0.005158437730287568,0.4312223611420244,0.6108504483792206
12H,DISCOVERY,OS,3,115,2250,N_GE_100,N_GE_100,0.5565217391304348,0.5275555555555556,0.028966183574879234,0.05490641368448035,0.46535589607313604,0.6440334086821011
12H,DISCOVERY,OS,5,115,2250,N_GE_100,N_GE_100,0.5478260869565217,0.5431111111111111,0.004714975845410585,0.008681420337294465,0.4567826246113187,0.6357775563354204
12H,DISCOVERY,OS,10,115,2250,N_GE_100,N_GE_100,0.5826086956521739,0.5533333333333333,0.029275362318840537,0.05290728129910938,0.4912372597020915,0.6686394164786398
12H,VALIDATION,OB,1,43,749,N_30_99,N_GE_100,0.37209302325581395,0.520694259012016,-0.1486012357562021,-0.2853905784138343,0.2437613889377433,0.5214046173472684
12H,VALIDATION,OB,3,43,747,N_30_99,N_GE_100,0.46511627906976744,0.5033467202141901,-0.0382304411444227,-0.07595249876298871,0.32510826263918563,0.6108461027112722
12H,VALIDATION,OB,5,43,745,N_30_99,N_GE_100,0.3953488372093023,0.4912751677852349,-0.09592633057593258,-0.19525988054390653,0.263651061984564,0.5442120340668091
12H,VALIDATION,OB,10,42,740,N_30_99,N_GE_100,0.5714285714285714,0.4635135135135135,0.1079150579150579,0.23281965847563502,0.42205977911874476,0.7088257048085178
12H,VALIDATION,OS,1,31,749,N_30_99,N_GE_100,0.5483870967741935,0.47930574098798395,0.06908135578620955,0.1441279539940694,0.37771879603669134,0.7083851716341388
12H,VALIDATION,OS,3,31,747,N_30_99,N_GE_100,0.5161290322580645,0.4966532797858099,0.01947575247225458,0.039213981392922204,0.34840118286973176,0.6803001396872117
12H,VALIDATION,OS,5,31,745,N_30_99,N_GE_100,0.4838709677419355,0.508724832214765,-0.024853864472829557,-0.04885522172099743,0.3196998603127883,0.6515988171302683
12H,VALIDATION,OS,10,31,740,N_30_99,N_GE_100,0.5483870967741935,0.5364864864864864,0.011900610287707059,0.02218249776549941,0.37771879603669134,0.7083851716341388
15m,DISCOVERY,OB,1,6271,106721,N_GE_100,N_GE_100,0.5294211449529581,0.4947760984248648,0.034645046528093304,0.07002166563499501,0.5170529893981379,0.5417532759265518
15m,DISCOVERY,OB,3,6271,106721,N_GE_100,N_GE_100,0.5273481103492266,0.49188069826931907,0.0354674120799075,0.07210572036003748,0.5149783091453148,0.5396844252892883
15m,DISCOVERY,OB,5,6271,106721,N_GE_100,N_GE_100,0.5267102535480784,0.49097178624638077,0.03573846730169766,0.07279128516717503,0.5143399889486436,0.5390478129043944
15m,DISCOVERY,OB,10,6271,106721,N_GE_100,N_GE_100,0.5121990113219582,0.48706440157045006,0.025134609751508163,0.05160428409562723,0.49982365682579244,0.5245594287966399
15m,DISCOVERY,OS,1,6329,106721,N_GE_100,N_GE_100,0.5648601674830147,0.5013446275803263,0.06351553990268843,0.12669037705507646,0.5526100281888713,0.5770316164087135
15m,DISCOVERY,OS,3,6329,106721,N_GE_100,N_GE_100,0.5642281561068099,0.5055424892945156,0.05868566681229426,0.11608453899530802,0.5519763750751417,0.5764020135458526
15m,DISCOVERY,OS,5,6329,106721,N_GE_100,N_GE_100,0.5582240480328646,0.5073509431133516,0.050873104919513024,0.10027202198015228,0.5459576746352343,0.5704197822081519
15m,DISCOVERY,OS,10,6329,106721,N_GE_100,N_GE_100,0.5623321219781956,0.5113239193785666,0.051008202599629016,0.09975712198565123,0.5500755366585834,0.57451308403264
15m,VALIDATION,OB,1,2053,35952,N_GE_100,N_GE_100,0.5547978567949342,0.496272808188696,0.058525048606238195,0.11792918660976781,0.5332168792593989,0.5761741404477093
15m,VALIDATION,OB,3,2053,35950,N_GE_100,N_GE_100,0.5528494885533366,0.4973018080667594,0.05554768048657721,0.1116981269433075,0.5312630499406324,0.5742385112880007
15m,VALIDATION,OB,5,2053,35948,N_GE_100,N_GE_100,0.5470043838285436,0.49685657060198063,0.05014781322656292,0.10093016011804967,0.5254035587329371,0.5684296270602711
15m,VALIDATION,OB,10,2053,35943,N_GE_100,N_GE_100,0.5163175840233805,0.49995826725648945,0.016359316766891008,0.03272136463841746,0.4946900447553064,0.5378841700019215
15m,VALIDATION,OS,1,1997,35952,N_GE_100,N_GE_100,0.5473209814722083,0.5020026702269693,0.045318311245238996,0.09027504021990418,0.525419419915657,0.569040831210669
15m,VALIDATION,OS,3,1997,35950,N_GE_100,N_GE_100,0.5533299949924887,0.5014464534075105,0.05188354158497821,0.10346776058023899,0.5314434820565247,0.5750117215937792
15m,VALIDATION,OS,5,1997,35948,N_GE_100,N_GE_100,0.5363044566850276,0.5025314342939802,0.0337730223910474,0.06720579069545374,0.5143836128598446,0.5580858919725221
15m,VALIDATION,OS,10,1997,35943,N_GE_100,N_GE_100,0.5257886830245369,0.4997078707954261,0.02608081222911074,0.0521921181421372,0.5038594165390283,0.547618921376377
1D,DISCOVERY,OB,1,77,1125,N_30_99,N_GE_100,0.5584415584415584,0.4648888888888889,0.0935526695526695,0.20123662188671743,0.4473803679096196,0.6639484528955104
1D,DISCOVERY,OB,3,77,1125,N_30_99,N_GE_100,0.5194805194805194,0.45422222222222225,0.06525829725829718,0.1436704195999694,0.40963811196379796,0.6274714949712452
1D,DISCOVERY,OB,5,77,1125,N_30_99,N_GE_100,0.5324675324675324,0.448,0.08446753246753241,0.18854359925788478,0.4221482516277276,0.6397010932640111
