timeframe,split,band_position,geometry_r_bin,sample_count,ob_next_close_hit_rate,os_next_close_hit_rate
12H,DISCOVERY,ABOVE_OB,UNKNOWN,330,0.7393939393939394,0.015151515151515152
12H,DISCOVERY,BELOW_OS,UNKNOWN,255,0.0,0.7254901960784313
12H,DISCOVERY,INSIDE,UNKNOWN,1665,0.13573573573573575,0.0918918918918919
12H,VALIDATION,ABOVE_OB,UNKNOWN,99,0.797979797979798,0.0
12H,VALIDATION,BELOW_OS,UNKNOWN,77,0.0,0.8051948051948052
12H,VALIDATION,INSIDE,UNKNOWN,573,0.1012216404886562,0.09424083769633508
15m,DISCOVERY,ABOVE_OB,UNKNOWN,14039,0.7229147375169171,0.006838093881330579
15m,DISCOVERY,BELOW_OS,UNKNOWN,13323,0.007505817008181341,0.6867822562485927
15m,DISCOVERY,INSIDE,UNKNOWN,79359,0.11484519714210109,0.1139631295757255
15m,VALIDATION,ABOVE_OB,UNKNOWN,4512,0.7220744680851063,0.011303191489361703
15m,VALIDATION,BELOW_OS,UNKNOWN,4467,0.011864786209984329,0.7250951421535706
15m,VALIDATION,INSIDE,UNKNOWN,26973,0.10747784821858895,0.10276943610276944
1D,DISCOVERY,ABOVE_OB,UNKNOWN,170,0.7176470588235294,0.01764705882352941
1D,DISCOVERY,BELOW_OS,UNKNOWN,152,0.0,0.6973684210526315
1D,DISCOVERY,INSIDE,UNKNOWN,803,0.1519302615193026,0.09838107098381071
1D,VALIDATION,ABOVE_OB,UNKNOWN,45,0.8444444444444444,0.0
1D,VALIDATION,BELOW_OS,UNKNOWN,44,0.0,0.75
1D,VALIDATION,INSIDE,UNKNOWN,285,0.0912280701754386,0.10175438596491228
1H,DISCOVERY,ABOVE_OB,UNKNOWN,3425,0.76,0.0075912408759124085
1H,DISCOVERY,BELOW_OS,UNKNOWN,3263,0.0058228623965675755,0.7296965982224947
1H,DISCOVERY,INSIDE,UNKNOWN,19369,0.10976302338788786,0.10434198977747948
1H,VALIDATION,ABOVE_OB,UNKNOWN,1107,0.7461607949412827,0.012646793134598013
