timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,234,N_GE_100,0.4358974358974359,0.37390359172206417,0.49996203985794535
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,234,N_GE_100,0.4829059829059829,0.41967351681596826,0.5466906516053676
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,234,N_GE_100,0.46153846153846156,0.398799811609298,0.5255195673387077
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,234,N_GE_100,0.43162393162393164,0.3697705223542832,0.4956861513310603
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,205,N_GE_100,0.5609756097560976,0.49253706546776527,0.6271708854385677
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,205,N_GE_100,0.5219512195121951,0.45379789212144656,0.5892969702048333
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,205,N_GE_100,0.5658536585365853,0.49740840897338134,0.6318761780054579
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,205,N_GE_100,0.5853658536585366,0.5169590676050706,0.6506320636637952
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,65,N_30_99,0.46153846153846156,0.34590137149936684,0.5814681260137647
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,65,N_30_99,0.4461538461538462,0.331693339691393,0.5666239568269913
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,64,N_30_99,0.390625,0.28055388546896454,0.5130830570559759
12H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,63,N_30_99,0.5714285714285714,0.44861395082594024,0.6860327362671276
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,67,N_30_99,0.5074626865671642,0.39063570911024414,0.6234802905283863
12H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,67,N_30_99,0.5970149253731343,0.4774111146058888,0.7060968806963064
