timeframe,split,direction,distance_bin,sample_count,sample_flag,next_close_hit_rate,next_close_hit_wilson_lo,next_close_hit_wilson_hi,next_intrabar_touch_rate
12H,DISCOVERY,OB,0.00-0.25,322,N_GE_100,0.5062111801242236,0.4518517201975599,0.5604241831861702,0.8850931677018633
12H,DISCOVERY,OB,0.25-0.50,317,N_GE_100,0.3501577287066246,0.29972391763102557,0.4041798155507065,0.5867507886435331
12H,DISCOVERY,OB,0.50-0.75,327,N_GE_100,0.2691131498470948,0.22392880802691506,0.31965942271553094,0.3853211009174312
12H,DISCOVERY,OB,0.75-1.00,338,N_GE_100,0.13313609467455623,0.10101003874353398,0.17350774961224252,0.1804733727810651
12H,DISCOVERY,OB,1.00-1.50,561,N_GE_100,0.0784313725490196,0.05894210052257397,0.10365498864366308,0.11229946524064172
12H,DISCOVERY,OB,1.50-2.00,255,N_GE_100,0.058823529411764705,0.03596805781169063,0.09477445034773968,0.06274509803921569
12H,DISCOVERY,OB,>2.00,130,N_GE_100,0.03076923076923077,0.01202908970364043,0.07644564460915917,0.046153846153846156
12H,VALIDATION,OB,0.00-0.25,74,N_30_99,0.43243243243243246,0.32565937789932076,0.5458746090690868,0.8783783783783784
12H,VALIDATION,OB,0.25-0.50,99,N_30_99,0.36363636363636365,0.27561748409823283,0.4618428432401205,0.5454545454545454
12H,VALIDATION,OB,0.50-0.75,98,N_30_99,0.25510204081632654,0.17917341706740805,0.34950641514261227,0.32653061224489793
12H,VALIDATION,OB,0.75-1.00,145,N_GE_100,0.15172413793103448,0.10238090565795918,0.21904536226713703,0.2206896551724138
12H,VALIDATION,OB,1.00-1.50,189,N_GE_100,0.07936507936507936,0.04868345273517812,0.12680565334981597,0.1164021164021164
12H,VALIDATION,OB,1.50-2.00,81,N_30_99,0.07407407407407407,0.03438916189352608,0.15233056050680582,0.07407407407407407
12H,VALIDATION,OB,>2.00,63,N_30_99,0.015873015873015872,0.0028074219075510873,0.0845872544616561,0.031746031746031744
15m,DISCOVERY,OB,0.00-0.25,14101,N_GE_100,0.4340826891709808,0.4259209733623274,0.4422803115071177,0.8563222466491738
15m,DISCOVERY,OB,0.25-0.50,15021,N_GE_100,0.33592969842220893,0.32841917774780877,0.34352411914525144,0.5859130550562546
15m,DISCOVERY,OB,0.50-0.75,15875,N_GE_100,0.21694488188976377,0.21060211792751912,0.22342460603703004,0.34525984251968506
15m,DISCOVERY,OB,0.75-1.00,15764,N_GE_100,0.13181933519411318,0.12662790257665377,0.13719017129339325,0.19601623953311342
15m,DISCOVERY,OB,1.00-1.50,25746,N_GE_100,0.06692301716771537,0.06393472769083398,0.07004052752005631,0.0914705196923794
15m,DISCOVERY,OB,1.50-2.00,13330,N_GE_100,0.0423105776444111,0.03902313240596334,0.0458617517822514,0.04883720930232558
15m,DISCOVERY,OB,>2.00,6884,N_GE_100,0.05621731551423591,0.05101936843067107,0.06191029011432216,0.060284718187100524
15m,VALIDATION,OB,0.00-0.25,4523,N_GE_100,0.431793057705063,0.417421382496591,0.4462804974189776,0.8540791510059695
15m,VALIDATION,OB,0.25-0.50,5052,N_GE_100,0.31314330958036424,0.30050058321310513,0.32606999605504283,0.5570071258907363
15m,VALIDATION,OB,0.50-0.75,5181,N_GE_100,0.20343563018722255,0.192695640392972,0.2146150863223823,0.32889403590040533
15m,VALIDATION,OB,0.75-1.00,5123,N_GE_100,0.12180363068514542,0.1131297711300534,0.13104426381575027,0.1963693148545774
15m,VALIDATION,OB,1.00-1.50,8454,N_GE_100,0.06612254554057251,0.06101997362339286,0.07161925669749655,0.09723207948899928
15m,VALIDATION,OB,1.50-2.00,4743,N_GE_100,0.05313092979127135,0.04710157908189484,0.05988357921788917,0.06325110689437065
15m,VALIDATION,OB,>2.00,2876,N_GE_100,0.06467315716272601,0.05625223795774412,0.07425549552315289,0.07058414464534075
1D,DISCOVERY,OB,0.00-0.25,179,N_GE_100,0.4748603351955307,0.4030032151048605,0.5477738509457538,0.8715083798882681
1D,DISCOVERY,OB,0.25-0.50,159,N_GE_100,0.34591194968553457,0.2763975735476369,0.42269651543208336,0.5786163522012578
1D,DISCOVERY,OB,0.50-0.75,174,N_GE_100,0.1839080459770115,0.13338915904773224,0.24808289248576726,0.3333333333333333
1D,DISCOVERY,OB,0.75-1.00,167,N_GE_100,0.17365269461077845,0.12371468491228088,0.23826740844203098,0.2275449101796407
1D,DISCOVERY,OB,1.00-1.50,254,N_GE_100,0.11811023622047244,0.08399722367900822,0.16360285326745813,0.13385826771653545
1D,DISCOVERY,OB,1.50-2.00,134,N_GE_100,0.03731343283582089,0.016041274761645144,0.08437543543324523,0.04477611940298507
1D,DISCOVERY,OB,>2.00,58,N_30_99,0.13793103448275862,0.07158401626482185,0.24926149872832187,0.13793103448275862
1D,VALIDATION,OB,0.00-0.25,42,N_30_99,0.4523809523809524,0.3122316381863852,0.6005113725287732,0.9285714285714286
1D,VALIDATION,OB,0.25-0.50,50,N_30_99,0.32,0.20758044093999403,0.45810557136276076,0.46
1D,VALIDATION,OB,0.50-0.75,52,N_30_99,0.15384615384615385,0.08007589590882647,0.2752434359154765,0.28846153846153844
1D,VALIDATION,OB,0.75-1.00,52,N_30_99,0.21153846153846154,0.12244245849448492,0.34032365135910086,0.23076923076923078
1D,VALIDATION,OB,1.00-1.50,111,N_GE_100,0.06306306306306306,0.03088026451475212,0.12447807253384349,0.08108108108108109
1D,VALIDATION,OB,1.50-2.00,40,N_30_99,0.075,0.02583555677185824,0.1986453015909752,0.1
1D,VALIDATION,OB,>2.00,27,N_LT_30,0.0,0.0,0.12455903714463581,0.0
1H,DISCOVERY,OB,0.00-0.25,3411,N_GE_100,0.4412195836997948,0.424631570744345,0.45793984925944087,0.8806801524479625
1H,DISCOVERY,OB,0.25-0.50,3758,N_GE_100,0.31373070782331025,0.29909173913729165,0.32875011364034784,0.5449707291112293
1H,DISCOVERY,OB,0.50-0.75,4140,N_GE_100,0.2028985507246377,0.19092611106653173,0.21542185358539895,0.3309178743961353
1H,DISCOVERY,OB,0.75-1.00,4122,N_GE_100,0.12421154779233382,0.11449114025839599,0.13463175384398546,0.185589519650655
1H,DISCOVERY,OB,1.00-1.50,6210,N_GE_100,0.07584541062801932,0.06951958138608513,0.08269569233444224,0.09935587761674718
1H,DISCOVERY,OB,1.50-2.00,2980,N_GE_100,0.05771812080536913,0.04990032687078362,0.06667476210176773,0.0674496644295302
1H,DISCOVERY,OB,>2.00,1436,N_GE_100,0.04805013927576602,0.038143136663514335,0.06036881076181358,0.04944289693593315
1H,VALIDATION,OB,0.00-0.25,1036,N_GE_100,0.39575289575289574,0.3664125885634269,0.4258634657894668,0.8465250965250966
1H,VALIDATION,OB,0.25-0.50,1203,N_GE_100,0.3192019950124688,0.29347017569070283,0.3460848413057281,0.5594347464671654
1H,VALIDATION,OB,0.50-0.75,1388,N_GE_100,0.17795389048991356,0.15872927160297517,0.1989562581297185,0.3004322766570605
1H,VALIDATION,OB,0.75-1.00,1413,N_GE_100,0.11818825194621373,0.10238153427344146,0.13606544526188555,0.20099079971691436
1H,VALIDATION,OB,1.00-1.50,2155,N_GE_100,0.07331786542923434,0.06305542579024406,0.08509884361053088,0.1048723897911833
1H,VALIDATION,OB,1.50-2.00,1110,N_GE_100,0.06396396396396396,0.051019306947890836,0.07991636649077402,0.07657657657657657
1H,VALIDATION,OB,>2.00,643,N_GE_100,0.07776049766718507,0.05947882001896299,0.10105754622587962,0.08242612752721618
2H,DISCOVERY,OB,0.00-0.25,1680,N_GE_100,0.42142857142857143,0.3980216010551992,0.4451940553343328,0.8726190476190476
2H,DISCOVERY,OB,0.25-0.50,1826,N_GE_100,0.32420591456736036,0.3031247830683649,0.3460251761412193,0.5662650602409639
2H,DISCOVERY,OB,0.50-0.75,2175,N_GE_100,0.2188505747126437,0.2019778287029148,0.2367147316006888,0.3388505747126437
2H,DISCOVERY,OB,0.75-1.00,2118,N_GE_100,0.13833805476864966,0.12428768137113648,0.15369800804130598,0.19924457034938622
2H,DISCOVERY,OB,1.00-1.50,2987,N_GE_100,0.08871777703381319,0.07904196875793346,0.09945013192703761,0.1178439906260462
2H,DISCOVERY,OB,1.50-2.00,1419,N_GE_100,0.05214940098661029,0.041743061094072435,0.06497408858724135,0.0613107822410148
2H,DISCOVERY,OB,>2.00,716,N_GE_100,0.040502793296089384,0.02834641145716737,0.05756359985643273,0.046089385474860335
2H,VALIDATION,OB,0.00-0.25,507,N_GE_100,0.4437869822485207,0.4011231640065429,0.4872962599401365,0.854043392504931
2H,VALIDATION,OB,0.25-0.50,538,N_GE_100,0.34572490706319703,0.30675718716863265,0.38688021534900363,0.5780669144981413
2H,VALIDATION,OB,0.50-0.75,682,N_GE_100,0.20381231671554254,0.17527714166459277,0.23566555997380315,0.3387096774193548
2H,VALIDATION,OB,0.75-1.00,734,N_GE_100,0.1307901907356948,0.10830766237147098,0.1571173285750953,0.20027247956403268
2H,VALIDATION,OB,1.00-1.50,1167,N_GE_100,0.08911739502999143,0.07408996439419861,0.10684108554458048,0.11653813196229648
2H,VALIDATION,OB,1.50-2.00,539,N_GE_100,0.04267161410018553,0.028600004227556878,0.06321609829664172,0.05194805194805195
2H,VALIDATION,OB,>2.00,333,N_GE_100,0.07807807807807808,0.053836749979488945,0.11194324869050906,0.08408408408408409
30m,DISCOVERY,OB,0.00-0.25,6974,N_GE_100,0.43375394321766564,0.4221619608177576,0.44541886818816323,0.8556065385718382
30m,DISCOVERY,OB,0.25-0.50,7500,N_GE_100,0.32106666666666667,0.3105939469732263,0.3317225965956039,0.5676
30m,DISCOVERY,OB,0.50-0.75,8188,N_GE_100,0.21201758671226184,0.20330025731081294,0.22100501734195863,0.3356130923302394
30m,DISCOVERY,OB,0.75-1.00,7920,N_GE_100,0.12209595959595959,0.11506805585372289,0.12949029069373968,0.1904040404040404
30m,DISCOVERY,OB,1.00-1.50,12947,N_GE_100,0.06974588707808758,0.06548466166577692,0.07426236450432154,0.09423032362709508
30m,DISCOVERY,OB,1.50-2.00,6204,N_GE_100,0.04529335912314636,0.04039415128575399,0.0507553393842399,0.054642166344294
30m,DISCOVERY,OB,>2.00,3171,N_GE_100,0.05991800693787449,0.05217760515543033,0.06872341869407447,0.06559444970040997
