timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,234,N_GE_100,0.4358974358974359,0.37390359172206417,0.49996203985794535
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,234,N_GE_100,0.4829059829059829,0.41967351681596826,0.5466906516053676
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,234,N_GE_100,0.46153846153846156,0.398799811609298,0.5255195673387077
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,234,N_GE_100,0.43162393162393164,0.3697705223542832,0.4956861513310603
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,141,N_GE_100,0.475177304964539,0.3945043568293785,0.5571669862101902
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,141,N_GE_100,0.44680851063829785,0.3672400378434736,0.5291985543841736
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,141,N_GE_100,0.49645390070921985,0.41512088716989126,0.5779750189786187
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,141,N_GE_100,0.4326241134751773,0.3537049455862771,0.5151172712354095
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,205,N_GE_100,0.5609756097560976,0.49253706546776527,0.6271708854385677
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,205,N_GE_100,0.5219512195121951,0.45379789212144656,0.5892969702048333
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,205,N_GE_100,0.5658536585365853,0.49740840897338134,0.6318761780054579
12H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,205,N_GE_100,0.5853658536585366,0.5169590676050706,0.6506320636637952
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,115,N_GE_100,0.5217391304347826,0.4312223611420244,0.6108504483792206
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,115,N_GE_100,0.5565217391304348,0.46535589607313604,0.6440334086821011
12H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,115,N_GE_100,0.5478260869565217,0.4567826246113187,0.6357775563354204
