feature_id,family,description,raw_family_normalized,within_cross_tf,unit,causal,engine_version
ABOVE_BELOW_COUNT_IMBALANCE,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
ABOVE_BELOW_DISTANCE_ASYMMETRY,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
ABOVE_MARKET_COUNT_0_25_PCT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
ABOVE_MARKET_COUNT_0_50_ATR,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
ALREADY_TRIGGERED_COUNT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
AMBIGUOUS_COUNT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
APPROACHING_FAMILY_COUNT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
APPROACHING_TRIGGER_COUNT,TEMPORAL,triggers closer than prior bar,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
BELOW_MARKET_COUNT_0_25_PCT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
BELOW_MARKET_COUNT_0_50_ATR,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
CLUSTER_ABOVE_COUNT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
CLUSTER_BELOW_COUNT,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
CLUSTER_CENTER_CHANGE,EXTENDED,auto-registered from engine output,BOTH,WITHIN_TF,varies,YES,PREDICTOR_CONFLUENCE_ENGINE_V1
