candidate_id,family,feature_id,parameter_set_id,decision_tf,partition,threshold_name,threshold_value,n_bars,n_active,n_near_c,hit_rate_near_c,baseline_near_rate,event_rate_lift,p_value,false_state_prevalence
CTX_VOLUME_ZSCORE_VOL_WINDOW_20_V1_1H,VOLUME_CONTEXT,VOLUME_ZSCORE,VOL_WINDOW_20_V1,1H,DISCOVERY,P90,1.5239027891904613,26952,2660,0,0.0,0.0,,1.0,1.0
CTX_VOLUME_ZSCORE_VOL_WINDOW_20_V1_1H,VOLUME_CONTEXT,VOLUME_ZSCORE,VOL_WINDOW_20_V1,1H,DISCOVERY,P10,-0.9986317918369274,26952,2660,0,0.0,0.0,,1.0,1.0
CTX_VOLUME_RELATIVE_TO_MEAN_VOL_WINDOW_20_V1_1H,VOLUME_CONTEXT,VOLUME_RELATIVE_TO_MEAN,VOL_WINDOW_20_V1,1H,DISCOVERY,P90,1.7939102301935614,26952,2660,0,0.0,0.0,,1.0,1.0
CTX_VOLUME_RELATIVE_TO_MEAN_VOL_WINDOW_20_V1_1H,VOLUME_CONTEXT,VOLUME_RELATIVE_TO_MEAN,VOL_WINDOW_20_V1,1H,DISCOVERY,P10,0.46844133360945733,26952,2660,0,0.0,0.0,,1.0,1.0
CTX_COMPRESSION_RATIO_COMPRESSION_10_50_V1_1H,COMPRESSION_CONTEXT,COMPRESSION_RATIO,COMPRESSION_10_50_V1,1H,DISCOVERY,P10,0.24513014997414248,26952,2604,0,0.0,0.0,,1.0,1.0
CTX_COMPRESSION_RATIO_COMPRESSION_10_50_V1_1H,COMPRESSION_CONTEXT,COMPRESSION_RATIO,COMPRESSION_10_50_V1,1H,DISCOVERY,P20,0.29577464788732355,26952,5205,0,0.0,0.0,,1.0,1.0
CTX_COMPRESSION_STATE_COMPRESSION_10_50_V1_1H,COMPRESSION_CONTEXT,COMPRESSION_STATE,COMPRESSION_10_50_V1,1H,DISCOVERY,NATURAL_TRUE,0.5,26952,17146,0,0.0,0.0,,1.0,1.0
CTX_COMPRESSION_DURATION_DURATION_20_V1_1H,COMPRESSION_CONTEXT,COMPRESSION_DURATION,DURATION_20_V1,1H,DISCOVERY,P80,22.0,26952,5295,0,0.0,0.0,,1.0,1.0
CTX_COMPRESSION_DURATION_DURATION_20_V1_1H,COMPRESSION_CONTEXT,COMPRESSION_DURATION,DURATION_20_V1,1H,DISCOVERY,P90,32.0,26952,2703,0,0.0,0.0,,1.0,1.0
CTX_PRICE_PROGRESS_PER_VOLUME_EXHAUSTION_20_V1_1H,EXHAUSTION_CONTEXT,PRICE_PROGRESS_PER_VOLUME,EXHAUSTION_20_V1,1H,DISCOVERY,P10,-0.00014415278363078977,26952,2694,0,0.0,0.0,,1.0,1.0
CTX_PRICE_PROGRESS_PER_VOLUME_EXHAUSTION_20_V1_1H,EXHAUSTION_CONTEXT,PRICE_PROGRESS_PER_VOLUME,EXHAUSTION_20_V1,1H,DISCOVERY,P90,0.00015977758468068974,26952,2694,0,0.0,0.0,,1.0,1.0
CTX_UPPER_REJECTION_STRENGTH_REJECTION_20_V1_1H,REJECTION_CONTEXT,UPPER_REJECTION_STRENGTH,REJECTION_20_V1,1H,DISCOVERY,P90,0.5680112650563056,26952,2693,0,0.0,0.0,,1.0,1.0
CTX_UPPER_REJECTION_STRENGTH_REJECTION_20_V1_1H,REJECTION_CONTEXT,UPPER_REJECTION_STRENGTH,REJECTION_20_V1,1H,DISCOVERY,P95,0.6629455956336234,26952,1347,0,0.0,0.0,,1.0,1.0
CTX_LOWER_REJECTION_STRENGTH_REJECTION_20_V1_1H,REJECTION_CONTEXT,LOWER_REJECTION_STRENGTH,REJECTION_20_V1,1H,DISCOVERY,P90,0.6025399271716246,26952,2693,0,0.0,0.0,,1.0,1.0
CTX_LOWER_REJECTION_STRENGTH_REJECTION_20_V1_1H,REJECTION_CONTEXT,LOWER_REJECTION_STRENGTH,REJECTION_20_V1,1H,DISCOVERY,P95,0.6948438893844697,26952,1347,0,0.0,0.0,,1.0,1.0
CTX_EFFICIENCY_RATIO_EFFICIENCY_20_V1_1H,VOLUME_CONTEXT,EFFICIENCY_RATIO,EFFICIENCY_20_V1,1H,DISCOVERY,P10,0.03815605354366472,26952,2658,0,0.0,0.0,,1.0,1.0
CTX_EFFICIENCY_RATIO_EFFICIENCY_20_V1_1H,VOLUME_CONTEXT,EFFICIENCY_RATIO,EFFICIENCY_20_V1,1H,DISCOVERY,P90,0.47723090460604606,26952,2658,0,0.0,0.0,,1.0,1.0
