candidate_id,family,role,decision_tf,partition,source_wave_tf,pivot_type,n_events,TOTAL_SIGNALS,MATCHED_POST_C_SIGNALS,PRE_C_WARNING_SIGNALS,UNMATCHED_SIGNALS,FALSE_POSITIVE_RATE,PRECISION,EVENT_RECALL,SIGNALS_PER_YEAR,FALSE_SIGNALS_PER_YEAR,MEDIAN_DELAY_SECONDS,P75_DELAY_SECONDS,P90_DELAY_SECONDS,MEDIAN_PRICE_DISTANCE_FROM_C_PCT,MEDIAN_PRICE_DISTANCE_FROM_C_ATR,MEDIAN_REMAINING_WAVE_FRACTION,MEDIAN_MAE_AFTER_SIGNAL,P90_MAE_AFTER_SIGNAL,MEDIAN_MFE_AFTER_SIGNAL,MFE_MAE_RATIO,PRE_C_SIGNAL_RATE,MEDIAN_PRE_C_LEAD,MEDIAN_ADVERSE_EXTENSION_AFTER_PRE_C,SCANNED_TIME_FROM,SCANNED_TIME_TO,VALID_DECISION_BARS,YEARS_COVERED,score
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,5m,ALL,65,48,41,1,4,0.08333333333333333,0.8541666666666666,0.6307692307692307,46.744036201239794,3.895336350103316,23999.999999,30599.999999,35699.999999,1.0599007094635213,6.84543366896308,0.5581761006289316,0.41469588940383917,1.2008250771970843,0.9676631992918159,2.2170062639498886,0.020833333333333332,36000.000001,17.679999999999836,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.5387820512820513
PRICE_ONE_BAR_DIRECTION_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,5m,ALL,65,62,46,4,6,0.0967741935483871,0.7419354838709677,0.7076923076923077,60.377713426601396,5.843004525154974,14549.999999,20699.999999,31349.999999,0.7403161584013322,5.112795703132554,0.6673087798402058,0.35955314321817244,0.7495380995811178,1.1289128595600628,3.1572327044024937,0.06451612903225806,13950.000001,10.479999999999905,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.5250620347394541
IND_STOCH_14_3_3_V1_K_CROSS_UP_D_4H,STOCHASTIC,DIRECTIONAL_TRIGGER,4H,VALIDATION,15m,ALL,144,77,72,0,2,0.025974025974025976,0.935064935064935,0.5,74.98522473948883,1.947668175051658,22049.999999,26999.999999,35729.99999899999,2.401009189071071,4.956262201642357,0.664005744875309,0.9553209799540607,2.6137838832806977,4.712212620251107,4.892105263157916,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.4675324675324675
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,15m,ALL,144,103,83,0,4,0.038834951456310676,0.8058252427184466,0.5763888888888888,100.30491101516039,3.895336350103316,23399.999999,30149.999999,38699.999999,2.3561745360219852,4.722939994257821,0.6951840018932671,0.8168514019187584,2.4007334903422732,4.503633688893077,6.026890756302458,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.4644687162891046
IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_4H,DMA,DIRECTIONAL_TRIGGER,4H,VALIDATION,5m,ALL,65,49,38,2,4,0.08163265306122448,0.7755102040816326,0.5846153846153846,47.71787028876562,3.895336350103316,23549.999999,28049.999999,34589.999999,0.9737882232038343,7.0787050696895175,0.6025651183204519,0.3736501454690603,1.194673386584046,0.9801614856218204,2.7247706422017957,0.04081632653061224,21000.000001,9.639999999999873,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.4533751962323391
IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_4H,DMA,DIRECTIONAL_TRIGGER,4H,VALIDATION,15m,ALL,144,111,85,0,4,0.036036036036036036,0.7657657657657657,0.5902777777777778,108.09558371536701,3.895336350103316,17999.999999,26999.999999,37079.999999000014,2.3921311475409848,4.674519230769249,0.6916637901277185,0.8654981234864214,2.379097017691784,4.596595078897175,5.983152827918214,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.4520145145145145
IND_DMA_7X5_V1_PRICE_CROSS_UP_DMA_4H,DMA,DIRECTIONAL_TRIGGER,4H,VALIDATION,15m,ALL,144,77,67,0,2,0.025974025974025976,0.8701298701298701,0.4652777777777778,74.98522473948883,1.947668175051658,26999.999999,37799.999999,56159.999999,2.962522145383154,6.110026415527725,0.5850301444659313,1.1792170807295115,3.5533751751059386,4.045236018576105,3.9794050343249787,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.40485209235209235
IND_MACD_12_26_9_V1_HISTOGRAM_CROSS_UP_ZERO_1H,MACD,DIRECTIONAL_TRIGGER,1H,VALIDATION,15m,ALL,144,103,73,0,25,0.24271844660194175,0.7087378640776699,0.5069444444444444,100.30491101516039,24.345852188145724,14399.999999,20699.999999,27719.999998999996,2.25886604924328,4.1331960178510085,0.7321948880610774,0.9550422161799694,2.2448658803515453,4.9492934330839535,6.671410090556326,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714,0.3592907227615965
IND_MACD_12_26_9_V1_MACD_CROSS_UP_SIGNAL_1H,MACD,DIRECTIONAL_TRIGGER,1H,VALIDATION,15m,ALL,144,103,73,0,25,0.24271844660194175,0.7087378640776699,0.5069444444444444,100.30491101516039,24.345852188145724,14399.999999,20699.999999,27719.999998999996,2.25886604924328,4.1331960178510085,0.7321948880610774,0.9550422161799694,2.2448658803515453,4.9492934330839535,6.671410090556326,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714,0.3592907227615965
PRICE_ONE_BAR_DIRECTION_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,15m,ALL,144,144,86,0,6,0.041666666666666664,0.5972222222222222,0.5972222222222222,140.23210860371938,5.843004525154974,17099.999999,24299.999999,39599.999999,2.108458594431667,4.623784207931308,0.710681633744412,0.8413725414229057,2.8164537641135174,4.694120650046803,5.983152827918214,0.0,,,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714,0.35667438271604934
