candidate_id,family,role,decision_tf,partition,source_wave_tf,pivot_type,n_events,TOTAL_SIGNALS,MATCHED_POST_C_SIGNALS,PRE_C_WARNING_SIGNALS,UNMATCHED_SIGNALS,FALSE_POSITIVE_RATE,PRECISION,EVENT_RECALL,SIGNALS_PER_YEAR,FALSE_SIGNALS_PER_YEAR,MEDIAN_DELAY_SECONDS,P75_DELAY_SECONDS,P90_DELAY_SECONDS,MEDIAN_PRICE_DISTANCE_FROM_C_PCT,MEDIAN_PRICE_DISTANCE_FROM_C_ATR,MEDIAN_REMAINING_WAVE_FRACTION,MEDIAN_MAE_AFTER_SIGNAL,P90_MAE_AFTER_SIGNAL,MEDIAN_MFE_AFTER_SIGNAL,MFE_MAE_RATIO,PRE_C_SIGNAL_RATE,MEDIAN_PRE_C_LEAD,MEDIAN_ADVERSE_EXTENSION_AFTER_PRE_C,SCANNED_TIME_FROM,SCANNED_TIME_TO,VALID_DECISION_BARS,YEARS_COVERED
IND_STOCH_14_3_3_V1_K_CROSS_UP_LEVEL_4H,STOCHASTIC,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,146,122,24,0,0.0,0.8356164383561644,0.05876685934489403,142.17977677877104,0.0,26999.999999,42299.999999,53909.99999900001,2.518755152375094,2.422761219837704,0.5657145228445355,0.9491810641914491,4.134103536357631,2.78695954790913,3.6573099415204364,0.1643835616438356,14400.000001,41.15999999999997,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_MACD_12_26_9_V1_HISTOGRAM_CROSS_UP_ZERO_4H,MACD,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,163,131,31,0,0.0,0.803680981595092,0.06310211946050097,158.73495626671013,0.0,43199.999999,64799.999999,86399.999999,3.0040453074433744,3.12508694644098,0.48493099239507903,1.0145014348960237,3.5299828195154968,3.088701445226455,3.701187614048269,0.1901840490797546,36000.000001,48.43999999999983,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_MACD_12_26_9_V1_MACD_CROSS_UP_SIGNAL_4H,MACD,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,163,131,31,0,0.0,0.803680981595092,0.06310211946050097,158.73495626671013,0.0,43199.999999,64799.999999,86399.999999,3.0040453074433744,3.12508694644098,0.48493099239507903,1.0145014348960237,3.5299828195154968,3.088701445226455,3.701187614048269,0.1901840490797546,36000.000001,48.43999999999983,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_DMA_7X5_V1_PRICE_CROSS_UP_DMA_4H,DMA,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,487,384,80,2,0.004106776180698152,0.7885010266940452,0.18497109826589594,474.2572006250787,1.947668175051658,24299.999999,39599.999999,57599.999999,2.2265399565855977,2.2412934976286527,0.556107495693167,0.9099734184756019,3.404362038074035,3.0426690722025738,3.6416867843277823,0.16427104722792607,30600.000001,43.26999999999998,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_RSI_14_V1_RSI_CROSS_UP_30_4H,RSI,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,75,59,12,1,0.013333333333333334,0.7866666666666666,0.02842003853564547,73.03755656443717,0.973834087525829,18899.999999,35999.999999,54479.99999900001,2.529840371986004,2.754098360655747,0.578152632294926,1.221047543551903,5.704662098660005,3.637495105992768,3.1132532486325166,0.16,28800.000001,64.87,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_ADX_14_V1_DI_CROSS_UP_4H,MA/DMI,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,181,140,39,1,0.0055248618784530384,0.7734806629834254,0.0674373795761079,176.26396984217504,0.973834087525829,28799.999999,48599.999999,77399.999999,2.6876253581523954,3.7876177344811746,0.49666385461779494,0.8170742878080124,2.924995995501165,2.6188511318409313,3.6461412151066948,0.2154696132596685,36000.000001,44.3900000000001,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_DMA_25X5_V1_PRICE_CROSS_UP_DMA_4H,DMA,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,201,155,40,0,0.0,0.7711442786069652,0.07466281310211946,195.74065159269162,0.0,28799.999999,43199.999999,64799.999999,3.0370667837163894,3.418892076804241,0.504072427556219,0.841040777480565,2.9901072707806855,2.9948184025219473,3.505501291515496,0.19900497512437812,43200.000001,38.89499999999998,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_RSI_14_V1_RSI_CROSS_UP_50_4H,RSI,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,233,175,46,0,0.0,0.7510729613733905,0.08429672447013488,226.90334239351816,0.0,26099.999999,40949.999999,57599.999999,2.6536412078152716,3.120974883984552,0.5138640429338105,0.87460010461141,2.7635255576432107,2.440278411537499,3.1959218197501746,0.19742489270386265,28800.000001,47.46499999999992,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_MACD_12_26_9_V1_MACD_CROSS_UP_SIGNAL_1H,MACD,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,647,482,107,25,0.03863987635239567,0.7449768160741885,0.2321772639691715,630.0706546292114,24.345852188145724,17999.999999,25199.999999,35999.999999,1.9350103004478352,2.052696207435317,0.5789085548206119,0.7750183508685984,2.554884151312449,2.5325264750378227,3.2357478399372055,0.16537867078825347,25200.000001,45.98000000000002,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
IND_MACD_12_26_9_V1_HISTOGRAM_CROSS_UP_ZERO_1H,MACD,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,647,482,107,25,0.03863987635239567,0.7449768160741885,0.2321772639691715,630.0706546292114,24.345852188145724,17999.999999,25199.999999,35999.999999,1.9350103004478352,2.052696207435317,0.5789085548206119,0.7750183508685984,2.554884151312449,2.5325264750378227,3.2357478399372055,0.16537867078825347,25200.000001,45.98000000000002,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
