candidate_id,family,role,source_engine,source_feature_or_signal,parameter_set_id,decision_tf,direction_semantics,threshold_method,discovery_definition,validation_frozen,version
PRICE_ONE_BAR_DIRECTION_CHANGE_5m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,ONE_BAR_DIRECTION_CHANGE,ONE_BAR_DIRECTION_CHANGE,5m,EXPLICIT_UP_DOWN,NONE,close direction flip vs prior bar,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_5m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,CLOSE_ABOVE_PREVIOUS_HIGH,CLOSE_ABOVE_PREVIOUS_HIGH,5m,EXPLICIT_UP_DOWN,NONE,close > prior high → UP; close < prior low → DOWN twin,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N3_BAR_EXTREME_BREAK_5m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N3_BAR_EXTREME_BREAK,N3_BAR_EXTREME_BREAK,5m,EXPLICIT_UP_DOWN,NONE,close breaks 3-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N5_BAR_EXTREME_BREAK_5m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N5_BAR_EXTREME_BREAK,N5_BAR_EXTREME_BREAK,5m,EXPLICIT_UP_DOWN,NONE,close breaks 5-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_5m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,SHORT_TERM_SLOPE_SIGN_CHANGE,SHORT_TERM_SLOPE_SIGN_CHANGE,5m,EXPLICIT_UP_DOWN,NONE,3-bar close slope sign change,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_ONE_BAR_DIRECTION_CHANGE_15m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,ONE_BAR_DIRECTION_CHANGE,ONE_BAR_DIRECTION_CHANGE,15m,EXPLICIT_UP_DOWN,NONE,close direction flip vs prior bar,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_15m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,CLOSE_ABOVE_PREVIOUS_HIGH,CLOSE_ABOVE_PREVIOUS_HIGH,15m,EXPLICIT_UP_DOWN,NONE,close > prior high → UP; close < prior low → DOWN twin,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N3_BAR_EXTREME_BREAK_15m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N3_BAR_EXTREME_BREAK,N3_BAR_EXTREME_BREAK,15m,EXPLICIT_UP_DOWN,NONE,close breaks 3-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N5_BAR_EXTREME_BREAK_15m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N5_BAR_EXTREME_BREAK,N5_BAR_EXTREME_BREAK,15m,EXPLICIT_UP_DOWN,NONE,close breaks 5-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_15m,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,SHORT_TERM_SLOPE_SIGN_CHANGE,SHORT_TERM_SLOPE_SIGN_CHANGE,15m,EXPLICIT_UP_DOWN,NONE,3-bar close slope sign change,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_ONE_BAR_DIRECTION_CHANGE_1H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,ONE_BAR_DIRECTION_CHANGE,ONE_BAR_DIRECTION_CHANGE,1H,EXPLICIT_UP_DOWN,NONE,close direction flip vs prior bar,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_1H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,CLOSE_ABOVE_PREVIOUS_HIGH,CLOSE_ABOVE_PREVIOUS_HIGH,1H,EXPLICIT_UP_DOWN,NONE,close > prior high → UP; close < prior low → DOWN twin,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N3_BAR_EXTREME_BREAK_1H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N3_BAR_EXTREME_BREAK,N3_BAR_EXTREME_BREAK,1H,EXPLICIT_UP_DOWN,NONE,close breaks 3-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N5_BAR_EXTREME_BREAK_1H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N5_BAR_EXTREME_BREAK,N5_BAR_EXTREME_BREAK,1H,EXPLICIT_UP_DOWN,NONE,close breaks 5-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_1H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,SHORT_TERM_SLOPE_SIGN_CHANGE,SHORT_TERM_SLOPE_SIGN_CHANGE,1H,EXPLICIT_UP_DOWN,NONE,3-bar close slope sign change,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_ONE_BAR_DIRECTION_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,ONE_BAR_DIRECTION_CHANGE,ONE_BAR_DIRECTION_CHANGE,4H,EXPLICIT_UP_DOWN,NONE,close direction flip vs prior bar,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_4H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,CLOSE_ABOVE_PREVIOUS_HIGH,CLOSE_ABOVE_PREVIOUS_HIGH,4H,EXPLICIT_UP_DOWN,NONE,close > prior high → UP; close < prior low → DOWN twin,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N3_BAR_EXTREME_BREAK_4H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N3_BAR_EXTREME_BREAK,N3_BAR_EXTREME_BREAK,4H,EXPLICIT_UP_DOWN,NONE,close breaks 3-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_N5_BAR_EXTREME_BREAK_4H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,N5_BAR_EXTREME_BREAK,N5_BAR_EXTREME_BREAK,4H,EXPLICIT_UP_DOWN,NONE,close breaks 5-bar high/low,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,PRICE_ACTION_V1,SHORT_TERM_SLOPE_SIGN_CHANGE,SHORT_TERM_SLOPE_SIGN_CHANGE,4H,EXPLICIT_UP_DOWN,NONE,3-bar close slope sign change,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_5m,DMA,DIRECTIONAL_TRIGGER,INDICATOR_ENGINE_V1,PRICE_CROSS_UP_DMA|PRICE_CROSS_DOWN_DMA,DMA_3X3_V1,5m,UP=PRICE_CROSS_UP_DMA;DOWN=PRICE_CROSS_DOWN_DMA,NONE,IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_5m,YES,REVERSAL_SIGNAL_EVENT_STUDY_V1
