timeframe,label,count,mean,median,std,P01,P05,P10,P25,P50,P75,P90,P95,P99,MAD,MAE_R_EQ_1,distribution_id,R_BASELINE,LEG_PERSISTENCE_BASELINE
5m,FULL,559,1.3597439114431806,0.9889846743295011,1.2421572140197763,0.18559947347404043,0.2880760157310513,0.37277715217908886,0.5839409367540491,0.9889846743295011,1.6697380844106087,2.734747859032772,3.7031702252772893,6.323090900412682,0.4920955264043012,0.7767227149260585,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
5m,DISCOVERY,391,1.3782407186485082,0.9924777117384849,1.2916254426572706,0.17370102257770614,0.28644784043820015,0.3747859922178977,0.5803005941830821,0.9924777117384849,1.7188503432930156,2.7226424609177804,3.700172289347014,6.4548950724380205,0.5193976518631939,0.8015227670122561,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
5m,VALIDATION,168,1.3166947946736387,0.9776950045350815,1.1174019281240635,0.25006374844900336,0.3319469514750615,0.3726490441767795,0.596343145415645,0.9776950045350815,1.5988596863712001,2.8416584322788045,3.640796124919194,5.7856374518308655,0.4389699765151887,0.7190035460825864,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
15m,FULL,450,1.3554579857362843,0.9447128436340413,1.3268679285994098,0.2299167222843593,0.3414946491995784,0.4079446611228843,0.5698916657386007,0.9447128436340413,1.6279580559922127,2.6842797504533755,3.6518099880987442,7.165786534722855,0.4846941165448122,0.770409383806576,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
15m,DISCOVERY,315,1.331354777215756,0.9366724237190558,1.3227176561076004,0.2288939365387496,0.34397902886187415,0.4103483078591641,0.5968254426827053,0.9366724237190558,1.5488282906165134,2.5757506122215474,3.5533386848762962,7.354405895955705,0.4709999999999994,0.7432777188157113,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
15m,VALIDATION,135,1.411698805617517,1.0071311789056256,1.3348102453052728,0.26622848607647465,0.32456030944910436,0.4114565864936766,0.5371270213778059,1.0071311789056256,1.8630278425468674,2.7384455556388936,3.797395433369163,6.665240684596576,0.5041308236095743,0.8337166021185937,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
30m,FULL,310,1.4136949480640684,0.9970262994781375,1.3637747855050033,0.19211035146890085,0.28400938386549845,0.37145474796292705,0.5418301642564926,0.9970262994781375,1.718821267952996,2.8736855987904972,3.571532193820084,7.977803449471953,0.5354799680454316,0.8458234002735322,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
30m,DISCOVERY,217,1.3778728990050113,0.9241849886277482,1.2564550905279732,0.22415890792796783,0.30468205826978134,0.39770776996989987,0.5411794291462331,0.9241849886277482,1.750524300173246,2.8626693440495914,3.5711809846601157,5.4472286478424445,0.5250000000000009,0.8155253480987471,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
30m,VALIDATION,93,1.4972797292018682,1.140419749358298,1.583047600136257,0.15866355690192738,0.2619898767274455,0.32622410729947443,0.5478366967502035,1.140419749358298,1.6562322463356425,2.874344494067265,4.253400886307935,8.11742990954062,0.5605996082105433,0.9165188553480308,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
1H,FULL,3010,1.304296238278958,0.9709672010379549,1.085503479820095,0.21567371464637455,0.32773296459199064,0.4049055246222333,0.5969026862856801,0.9709672010379549,1.630094502318705,2.607818573815728,3.4555111701031365,5.38939019756839,0.4602806474968766,0.7042416126323582,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
1H,DISCOVERY,2107,1.2950127601326211,0.9626957592820673,1.0656401476831296,0.22103454902686395,0.33487309859867825,0.41161284805109555,0.5970460554018755,0.9626957592820673,1.6327497785542264,2.5815105725971703,3.4089891151746237,5.272357396998921,0.4582043343653268,0.6938124553617356,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
1H,VALIDATION,903,1.3259576872870773,0.9929328621908191,1.1301983071791206,0.21556678360901715,0.2932298209322221,0.378429899118469,0.5950133064158057,0.9929328621908191,1.627873526109933,2.771312041649539,3.575134183680613,5.566887792469991,0.4708930204206022,0.7285763129304774,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
2H,FULL,1497,1.3144201260816395,0.9750435287289607,1.1220788743246197,0.21866482313630659,0.32529474758777743,0.3921137505666527,0.5898420827998301,0.9750435287289607,1.646288209606985,2.571102561195496,3.492820591976849,5.602722614822633,0.4767666086091067,0.7172655225690213,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
2H,DISCOVERY,1048,1.2911824556681046,0.9671299404400397,1.04990260803675,0.2554374028774144,0.3390739140344662,0.41351832072800554,0.6022333791086549,0.9671299404400397,1.6463015230588973,2.475852272727273,3.4592427483480543,5.272197983259584,0.46547997040472594,0.6893494333366096,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
2H,VALIDATION,449,1.3686586084722507,1.0080753701211278,1.2730912738100892,0.17037996461560978,0.2679160023612698,0.3592540331236851,0.574916590840155,1.0080753701211278,1.6417203735367645,2.684788976170832,3.56172666032361,6.45993599999999,0.5029178512644012,0.782423788750686,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
4H,FULL,749,1.3289909763418422,0.9678379988088148,1.2846177654299697,0.22854525417083504,0.3251275900690687,0.40742842713810057,0.6083955547838172,0.9678379988088148,1.6322239031770027,2.5599444365359028,3.5142492752575993,5.375528258365382,0.46431435445068114,0.7262401673900126,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
4H,DISCOVERY,524,1.329939054395651,0.9541575215673053,1.3179183193419177,0.23055217136571354,0.348231005494563,0.42645742252937435,0.6158815252775534,0.9541575215673053,1.6349062667064667,2.5943661485729104,3.471341013144283,5.136492620005463,0.46418058859657835,0.7302413980006758,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
4H,VALIDATION,225,1.326783007896527,1.0068744734625104,1.2034951595627792,0.22892165806165615,0.30558167182218626,0.38160170272763827,0.5996420290444612,1.0068744734625104,1.6270356311987264,2.466378425162281,3.5178051463797506,5.920266223547491,0.4668075079223213,0.7169217458789571,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
6H,FULL,1345,1.468429105755566,0.9914141414141423,1.5722476607764897,0.18336968497443495,0.26734757636480616,0.34349492503743917,0.5258186397984902,0.9914141414141423,1.8043100535740129,3.122034199968621,4.37467671791168,7.982180594654297,0.5511394712853248,0.9254668217736866,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
6H,DISCOVERY,941,1.4442449329202949,0.965517241379313,1.5247759686442324,0.1927259754313515,0.27972027972027985,0.3583497053045188,0.5299187583074549,0.965517241379313,1.8080000000000003,3.093650793650785,4.2374350086655275,6.400718396125938,0.5346697615530709,0.8983036552507007,EMPIRICAL_R_DISTRIBUTION_V1,1.0,LEG_PERSISTENCE_BASELINE_V1
