timeframe,config,quality_flag,candle_count,time_from,time_to,pivot_count,leg_count,rolling_window_count,r_median_full,r_median_validation,pivot_ok,leg_ok,r_ok
5m,"{'atr_n': 10, 'atr_k': 15.0, 'depth': 3, 'backstep': 0, 'group': '5m-30m'}",OK,120000,2023-05-10T08:00:00+00:00,2024-06-29T23:55:00+00:00,562,561,559,0.9889846743295011,0.9776950045350815,True,True,True
15m,"{'atr_n': 10, 'atr_k': 15.0, 'depth': 3, 'backstep': 0, 'group': '5m-30m'}",OK,119954,2021-01-26T18:00:00+00:00,2024-06-29T23:45:00+00:00,453,452,450,0.9447128436340413,1.0071311789056256,True,True,True
30m,"{'atr_n': 10, 'atr_k': 15.0, 'depth': 3, 'backstep': 0, 'group': '5m-30m'}",OK,87637,2019-06-29T05:00:00+00:00,2024-06-29T23:30:00+00:00,313,312,310,0.9970262994781375,1.140419749358298,True,True,True
1H,"{'atr_n': 14, 'atr_k': 2.5, 'depth': 3, 'backstep': 0, 'group': '1H-4H'}",MARGINAL_TOO_DENSE,43861,2019-06-27T16:00:00+00:00,2024-06-29T23:00:00+00:00,3013,3012,3010,0.9709672010379549,0.9929328621908191,True,True,True
2H,"{'atr_n': 14, 'atr_k': 2.5, 'depth': 3, 'backstep': 0, 'group': '1H-4H'}",OK,21965,2019-06-25T08:00:00+00:00,2024-06-29T22:00:00+00:00,1500,1499,1497,0.9750435287289607,1.0080753701211278,True,True,True
4H,"{'atr_n': 14, 'atr_k': 2.5, 'depth': 3, 'backstep': 0, 'group': '1H-4H'}",OK,11007,2019-06-22T04:00:00+00:00,2024-06-29T20:00:00+00:00,752,751,749,0.9678379988088148,1.0068744734625104,True,True,True
6H,"{'atr_n': 14, 'atr_k': 0.5, 'depth': 3, 'backstep': 0, 'group': '6H-1D'}",OK,7355,2019-06-18T06:00:00+00:00,2024-06-29T18:00:00+00:00,1348,1347,1345,0.9914141414141423,1.0713895681788559,True,True,True
8H,"{'atr_n': 14, 'atr_k': 0.5, 'depth': 3, 'backstep': 0, 'group': '6H-1D'}",OK,5528,2019-06-14T08:00:00+00:00,2024-06-29T16:00:00+00:00,1034,1033,1031,0.9540315567151193,0.9895721205597435,True,True,True
12H,"{'atr_n': 14, 'atr_k': 0.5, 'depth': 3, 'backstep': 0, 'group': '6H-1D'}",OK,3702,2019-06-06T00:00:00+00:00,2024-06-29T12:00:00+00:00,678,677,675,1.0021377210597917,0.9824341279799244,True,True,True
1D,"{'atr_n': 14, 'atr_k': 0.5, 'depth': 3, 'backstep': 0, 'group': '6H-1D'}",OK,1876,2019-05-12T00:00:00+00:00,2024-06-29T00:00:00+00:00,339,338,336,0.9896324508729446,0.9969171483622357,True,True,True
