family,horizon_minutes,feature_family,delta_logloss_vs_dense,classification
LOGISTIC_L2,30,ATOMIC,-0.0010385787558472304,WEAK
LOGISTIC_L2,30,COMPOSITE,0.0653716265291936,NOT_SUPPORTED
LOGISTIC_L2,30,FULL,0.07472792772681502,NOT_SUPPORTED
LOGISTIC_L2,60,ATOMIC,-0.0032131971708823093,WEAK
LOGISTIC_L2,60,COMPOSITE,0.06430678210068097,NOT_SUPPORTED
LOGISTIC_L2,60,FULL,0.07259072158174584,NOT_SUPPORTED
LOGISTIC_L2,120,ATOMIC,-0.002793646977036879,WEAK
LOGISTIC_L2,120,COMPOSITE,0.07135490416640677,NOT_SUPPORTED
LOGISTIC_L2,120,FULL,0.08055167433802357,NOT_SUPPORTED
LOGISTIC_L2,240,ATOMIC,-0.003684370826033345,WEAK
LOGISTIC_L2,240,COMPOSITE,0.07111526734710238,NOT_SUPPORTED
LOGISTIC_L2,240,FULL,0.07674093231455736,NOT_SUPPORTED
LOGISTIC_L2,480,ATOMIC,0.0007669797054289385,NOT_SUPPORTED
LOGISTIC_L2,480,COMPOSITE,0.07445920510892112,NOT_SUPPORTED
LOGISTIC_L2,480,FULL,0.08219103040751574,NOT_SUPPORTED
LOGISTIC_L2,720,ATOMIC,0.007972725026020755,NOT_SUPPORTED
LOGISTIC_L2,720,COMPOSITE,0.09393614272611939,NOT_SUPPORTED
LOGISTIC_L2,720,FULL,0.10599339035832445,NOT_SUPPORTED
LOGISTIC_L2,1440,ATOMIC,-0.0065263443093135365,WEAK
LOGISTIC_L2,1440,COMPOSITE,0.09138474052484358,NOT_SUPPORTED
LOGISTIC_L2,1440,FULL,0.10151377430183439,NOT_SUPPORTED
LIGHTGBM,30,ATOMIC,-0.002922798931251469,SUPPORTED
LIGHTGBM,30,COMPOSITE,-0.00290296877753049,SUPPORTED
LIGHTGBM,30,FULL,-0.003239341604901136,SUPPORTED
LIGHTGBM,60,ATOMIC,-0.0026426274415936035,WEAK
LIGHTGBM,60,COMPOSITE,-0.003142943039606272,WEAK
LIGHTGBM,60,FULL,-0.0038219772729410906,WEAK
LIGHTGBM,120,ATOMIC,-0.005695492550751524,WEAK
LIGHTGBM,120,COMPOSITE,-0.009584558058956638,WEAK
LIGHTGBM,120,FULL,-0.009948571852715693,WEAK
LIGHTGBM,240,ATOMIC,-0.003540889062339292,WEAK
LIGHTGBM,240,COMPOSITE,-0.010050496542528875,WEAK
LIGHTGBM,240,FULL,-0.008605545334308351,WEAK
LIGHTGBM,480,ATOMIC,-0.00036408968745871295,WEAK
LIGHTGBM,480,COMPOSITE,-0.015096998724421717,WEAK
LIGHTGBM,480,FULL,-0.012619545512353003,WEAK
LIGHTGBM,720,ATOMIC,0.0029384906890371765,NOT_SUPPORTED
LIGHTGBM,720,COMPOSITE,-0.001082081463917528,WEAK
LIGHTGBM,720,FULL,-0.012493697753719668,WEAK
LIGHTGBM,1440,ATOMIC,-0.0036882499441870387,WEAK
LIGHTGBM,1440,COMPOSITE,-0.02941951308415003,WEAK
LIGHTGBM,1440,FULL,-0.03623431875264471,WEAK
CATBOOST,30,ATOMIC,-0.0018088728722844838,SUPPORTED
CATBOOST,30,COMPOSITE,-0.0015318526716876502,SUPPORTED
CATBOOST,30,FULL,-0.0018385041501688404,SUPPORTED
CATBOOST,60,ATOMIC,-0.0015636872773950872,SUPPORTED
CATBOOST,60,COMPOSITE,-0.002509448137947734,SUPPORTED
CATBOOST,60,FULL,-0.0028592465726707816,SUPPORTED
CATBOOST,120,ATOMIC,-0.004070489039514014,WEAK
CATBOOST,120,COMPOSITE,-0.006734100292243528,WEAK
CATBOOST,120,FULL,-0.006604337033215613,WEAK
CATBOOST,240,ATOMIC,-0.0012540094413269198,WEAK
CATBOOST,240,COMPOSITE,-0.008748642398229478,WEAK
CATBOOST,240,FULL,-0.007426608867034057,WEAK
CATBOOST,480,ATOMIC,0.020291556635889663,NOT_SUPPORTED
CATBOOST,480,COMPOSITE,-0.011847180918721056,WEAK
CATBOOST,480,FULL,-0.012155801391061871,WEAK
CATBOOST,720,ATOMIC,0.01519702993470362,NOT_SUPPORTED
CATBOOST,720,COMPOSITE,-0.00677088966710282,WEAK
CATBOOST,720,FULL,-0.012584328254269361,WEAK
CATBOOST,1440,ATOMIC,0.0550751347384596,NOT_SUPPORTED
CATBOOST,1440,COMPOSITE,-0.0007835555188439036,WEAK
CATBOOST,1440,FULL,-0.0014568825848237932,WEAK
