discovery_rank,candidate_id,entry_source,confidence_quantile,long_threshold_30m,short_threshold_30m,long_threshold_60m,short_threshold_60m,entry_persistence_decisions,cooldown_minutes,exit_family,minimum_hold_minutes,maximum_hold_minutes,trade_count,long_count,short_count,exposure_percent,gross_return_percent,net_return_percent,arithmetic_net_expectancy_bps_per_trade,median_net_return_bps_per_trade,profit_factor,win_rate,max_drawdown_percent,break_even_round_trip_cost_bps,ending_equity,minimum_equity_usdt,account_ruined,missing_required_bar_count,invalid_gap_fill_count,incomplete_open_position_count,overlapping_position_count,averaging_count,eligible
1,POLICY-1634,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,NEUTRAL_CROSS,15,120,94,51,43,0.7193245570182747,41.10212948619406,24.91140574839452,24.068029363816233,15.356875382654707,2.467687718687443,0.723404255319149,3.8783606679403464,36.694917933280394,124.91140574839453,98.87970781441122,NO,0,0,0,0,0,True
2,POLICY-1635,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,NEUTRAL_CROSS,15,240,94,51,43,0.7193245570182747,41.10212948619406,24.91140574839452,24.068029363816233,15.356875382654707,2.467687718687443,0.723404255319149,3.8783606679403464,36.694917933280394,124.91140574839453,98.87970781441122,NO,0,0,0,0,0,True
3,POLICY-1636,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,NEUTRAL_CROSS,15,480,94,51,43,0.7193245570182747,41.10212948619406,24.91140574839452,24.068029363816233,15.356875382654707,2.467687718687443,0.723404255319149,3.8783606679403464,36.694917933280394,124.91140574839453,98.87970781441122,NO,0,0,0,0,0,True
4,POLICY-1633,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,NEUTRAL_CROSS,15,60,94,51,43,0.677664833638838,38.448159249544716,22.558675342768453,22.046266943578164,14.062414366584141,2.226893963375086,0.6808510638297872,5.330883013989294,34.66776711564701,122.55867534276845,98.28006556100468,NO,0,0,0,0,0,True
5,POLICY-1586,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,0,NEUTRAL_CROSS,15,120,103,55,48,0.7776481697494863,42.67374090929991,24.832991712448617,21.91374377205686,13.90408474523449,2.3220075545667727,0.6990291262135923,3.8783606679403366,34.56228645988158,124.83299171244862,98.69664746410858,NO,0,0,0,0,0,True
6,POLICY-1587,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,0,NEUTRAL_CROSS,15,240,103,55,48,0.7776481697494863,42.67374090929991,24.832991712448617,21.91374377205686,13.90408474523449,2.3220075545667727,0.6990291262135923,3.8783606679403366,34.56228645988158,124.83299171244862,98.69664746410858,NO,0,0,0,0,0,True
7,POLICY-1588,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,0,NEUTRAL_CROSS,15,480,103,55,48,0.7776481697494863,42.67374090929991,24.832991712448617,21.91374377205686,13.90408474523449,2.3220075545667727,0.6990291262135923,3.8783606679403366,34.56228645988158,124.83299171244862,98.69664746410858,NO,0,0,0,0,0,True
8,POLICY-1610,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,60,NEUTRAL_CROSS,15,120,103,55,48,0.7776481697494863,42.67374090929991,24.832991712448617,21.91374377205686,13.90408474523449,2.3220075545667727,0.6990291262135923,3.8783606679403366,34.56228645988158,124.83299171244862,98.69664746410858,NO,0,0,0,0,0,True
9,POLICY-1611,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,60,NEUTRAL_CROSS,15,240,103,55,48,0.7776481697494863,42.67374090929991,24.832991712448617,21.91374377205686,13.90408474523449,2.3220075545667727,0.6990291262135923,3.8783606679403366,34.56228645988158,124.83299171244862,98.69664746410858,NO,0,0,0,0,0,True
10,POLICY-1612,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,60,NEUTRAL_CROSS,15,480,103,55,48,0.7776481697494863,42.67374090929991,24.832991712448617,21.91374377205686,13.90408474523449,2.3220075545667727,0.6990291262135923,3.8783606679403366,34.56228645988158,124.83299171244862,98.69664746410858,NO,0,0,0,0,0,True
11,POLICY-1585,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,0,NEUTRAL_CROSS,15,60,103,55,48,0.7359884463700495,39.990210453001936,22.481738250304993,20.068640204072597,12.137191726259186,2.114339818093429,0.6601941747572816,5.287255593752003,32.71264049033884,122.48173825030499,98.09811535476892,NO,0,0,0,0,0,True
12,POLICY-1609,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,60,NEUTRAL_CROSS,15,60,103,55,48,0.7359884463700495,39.990210453001936,22.481738250304993,20.068640204072597,12.137191726259186,2.114339818093429,0.6601941747572816,5.287255593752003,32.71264049033884,122.48173825030499,98.09811535476892,NO,0,0,0,0,0,True
13,POLICY-1641,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,REVERSE_THRESHOLD,15,60,94,51,43,1.0442703993778815,32.68397215234421,17.44170348115248,17.544413443793086,18.603391822024427,1.6971551988345546,0.5851063829787234,7.021003464762876,30.129122797146195,117.44170348115249,98.16974056369433,NO,0,0,0,0,0,True
14,POLICY-1645,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,REVERSE_THRESHOLD,30,60,94,51,43,1.0442703993778815,32.68397215234421,17.44170348115248,17.544413443793086,18.603391822024427,1.6971551988345546,0.5851063829787234,7.021003464762876,30.129122797146195,117.44170348115249,98.16974056369433,NO,0,0,0,0,0,True
15,POLICY-1649,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,CONFIDENCE_LOSS,15,60,94,51,43,0.5221351996889407,32.28353611289046,17.097087963976886,17.087311242229987,10.727924084483497,1.956800751609183,0.6595744680851063,3.9580144500592054,29.80705412009732,117.09708796397689,98.50780170244583,NO,0,0,0,0,0,True
16,POLICY-1650,BOTH_AGREE,0.995,0.6241963168627145,0.3622190764260388,0.6180911040012805,0.38135664741953357,1,240,CONFIDENCE_LOSS,15,120,94,51,43,0.5221351996889407,32.28353611289046,17.097087963976886,17.087311242229987,10.727924084483497,1.956800751609183,0.6595744680851063,3.9580144500592054,29.80705412009732,117.09708796397689,98.50780170244583,NO,0,0,0,0,0,True
