horizon_minutes,round_trip_cost_bps,ending_equity_normalized_100,net_return_percent
30,0.0,224.3455369677111,124.3455369677111
30,5.0,0.12076805974125723,-99.87923194025875
30,10.0,6.476659436586619e-05,-99.99993523340564
30,13.0,7.050251919279158e-07,-99.99999929497481
30,20.0,1.8417700395985612e-11,-99.99999999998158
60,0.0,121.051352870654,21.051352870654
60,5.0,0.4192666933051799,-99.58073330669482
60,10.0,0.0014480376157991587,-99.9985519623842
60,13.0,4.821276358330075e-05,-99.99995178723641
60,20.0,1.712616662601388e-08,-99.99999998287383
